# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
blouse blouses blousing bloused	BLOUSE v BLOUSED, BLOUSING, BLOUSES to hang loosely
blouson blousons	BLOUSON n pl. -S a woman's garment
blousy blousily blousiest blousier	BLOUSY adj BLOUSIER, BLOUSIEST blowsy BLOUSILY adv
bloviate bloviates bloviating bloviated	BLOVIATE v -ATED, -ATING, -ATES to speak pompously
blow blowed	BLOW v BLEW, BLOWED, BLOWING, BLOWS to damn
blow blows blowing blown	BLOW v BLEW, BLOWN, BLOWING, BLOWS to drive or impel by a current of air
blowback blowbacks	BLOWBACK n pl. -S an escape of gases
blowball blowballs	BLOWBALL n pl. -S a fluffy seed ball
blowby blowbys	BLOWBY n pl. -BYS leakage of exhaust fumes
blowdown blowdowns	BLOWDOWN n pl. -S a tree blown down by the wind
blower blowers	BLOWER n pl. -S one that blows
blowfish blowfishes	BLOWFISH n pl. -ES a marine fish
blowfly blowflies	BLOWFLY n pl. -FLIES a type of fly
blowgun blowguns	BLOWGUN n pl. -S a tube through which darts may be blown
blowhard blowhards	BLOWHARD n pl. -S a braggart
blowhole blowholes	BLOWHOLE n pl. -S an air or gas vent
blowier	BLOWIER comparative of blowy
blowiest	BLOWIEST superlative of blowy
blowjob blowjobs	BLOWJOB n pl. -S an act of fellatio or cunnilingus *deemed offensive*
blown	BLOWN past participle of blow
blowoff blowoffs	BLOWOFF n pl. -S the expelling of gas
blowout blowouts	BLOWOUT n pl. -S a sudden rupture
blowpipe blowpipes	BLOWPIPE n pl. -S a blowgun
blowsed	BLOWSED adj blowsy
blowsy blowsily blowsiest blowsier	BLOWSY adj -SIER, -SIEST slovenly BLOWSILY adv
blowtube blowtubes	BLOWTUBE n pl. -S a blowgun
blowup blowups	BLOWUP n pl. -S an explosion
blowy	BLOWY adj BLOWIER, BLOWIEST windy
blowzed	BLOWZED adj blowzy
blowzy blowzily blowziest blowzier	BLOWZY adj -ZIER, -ZIEST blowsy BLOWZILY adv
blub blubs blubbing blubbed	BLUB v BLUBBED, BLUBBING, BLUBS to blubber
blubber blubbers blubbering blubbered	BLUBBER v -ED, -ING, -S to weep noisily
blubbery	BLUBBERY adj fat; swollen
blucher bluchers	BLUCHER n pl. -S a half boot
bludgeon bludgeons bludgeoning bludgeoned	BLUDGEON v -ED, -ING, -S to hit with a club
bludger bludgers	BLUDGER n pl. -S a loafer or shirker
blue blues bluing blueing blued	BLUE v BLUED, BLUEING BLUING, BLUES to make blue
blue bluest bluer	BLUE adj BLUER, BLUEST having the color of the clear sky
blueball blueballs	BLUEBALL n pl. -S a medicinal herb
bluebell bluebells	BLUEBELL n pl. -S a flowering plant
bluebill bluebills	BLUEBILL n pl. -S the scaup duck
bluebird bluebirds	BLUEBIRD n pl. -S a songbird
bluebook bluebooks	BLUEBOOK n pl. -S an examination booklet
bluecap bluecaps	BLUECAP n pl. -S a flowering plant
bluecoat bluecoats	BLUECOAT n pl. -S a police officer
blued	BLUED past tense of blue
bluefin bluefins	BLUEFIN n pl. -S a large tuna
bluefish bluefishes	BLUEFISH n pl. -ES a marine fish
bluegill bluegills	BLUEGILL n pl. -S an edible sunfish
bluegum bluegums	BLUEGUM n pl. -S a timber tree
bluehead blueheads	BLUEHEAD n pl. -S a marine fish
blueing blueings	BLUEING n pl. -S bluing
blueish	BLUEISH adj bluish
bluejack bluejacks	BLUEJACK n pl. -S an oak tree
bluejay bluejays	BLUEJAY n pl. -JAYS a corvine bird
blueline bluelines	BLUELINE n pl. -S a line that divides a hockey rink
bluely	BLUELY adv in a blue manner
blueness bluenesses	BLUENESS n pl. -ES the state of being blue
bluenose bluenoses	BLUENOSE n pl. -S a puritanical person
bluer	BLUER comparative of blue
bluesier	BLUESIER comparative of bluesy
bluesiest	BLUESIEST superlative of bluesy
bluesman bluesmen	BLUESMAN n pl. -MEN one who plays the blues
bluest	BLUEST superlative of blue
bluestem bluestems	BLUESTEM n pl. -S a prairie grass
bluesy	BLUESY adj BLUESIER, BLUESIEST resembling the blues (a musical form)
bluet bluets	BLUET n pl. -S a meadow flower
bluetick blueticks	BLUETICK n pl. -S a hunting dog
blueweed blueweeds	BLUEWEED n pl. -S a bristly weed
bluewood bluewoods	BLUEWOOD n pl. -S a shrub
bluey blueys	BLUEY n pl. BLUEYS a bag of clothing carried in travel
bluff bluffly bluffest bluffer	BLUFF adj BLUFFER, BLUFFEST having a broad front BLUFFLY adv
bluff bluffs bluffing bluffed	BLUFF v -ED, -ING, -S to mislead
bluffer bluffers	BLUFFER n pl. -S one that bluffs
bluing bluings	BLUING n pl. -S a fabric coloring
bluish	BLUISH adj somewhat blue
blume blumes bluming blumed	BLUME v BLUMED, BLUMING, BLUMES to blossom
blunder blunders blundering blundered	BLUNDER v -ED, -ING, -S to make a mistake
blunge blunges blunging blunged	BLUNGE v BLUNGED, BLUNGING, BLUNGES to mix clay with water
blunger blungers	BLUNGER n pl. -S one that blunges
blunt bluntly bluntest blunter	BLUNT adj BLUNTER, BLUNTEST not sharp or pointed BLUNTLY adv
blunt blunts blunting blunted	BLUNT v -ED, -ING, -S to make blunt
blur blurs blurring blurred	BLUR v BLURRED, BLURRING, BLURS to make unclear
blurb blurbs blurbing blurbed	BLURB v -ED, -ING, -S to praise in a publicity notice
blurry blurrily blurriest blurrier	BLURRY adj -RIER, -RIEST unclear BLURRILY adv
blurt blurts blurting blurted	BLURT v -ED, -ING, -S to speak abruptly
blurter blurters	BLURTER n pl. -S one that blurts
blush blushes blushing blushed	BLUSH v -ED, -ING, -ES to become red
blusher blushers	BLUSHER n pl. -S one that blushes
blushful	BLUSHFUL adj of a red color
bluster blusters blustering blustered	BLUSTER v -ED, -ING, -S to blow violently
blustery	BLUSTERY adj windy
blype blypes	BLYPE n pl. -S a shred
bo bos	BO n pl. BOS a pal
boa boas	BOA n pl. -S a large snake
boar boars	BOAR n pl. -S a male pig
board boards boarding boarded	BOARD v -ED, -ING, -S to take meals for a fixed price
boarder boarders	BOARDER n pl. -S one that boards
boarding boardings	BOARDING n pl. -S a surface of wooden boards
boardman boardmen	BOARDMAN n pl. -MEN a board member
boarfish boarfishes	BOARFISH n pl. -ES a marine fish
boarish	BOARISH adj swinish; coarse
boart boarts	BOART n pl. -S bort
boast boasts boasting boasted	BOAST v -ED, -ING, -S to brag
boaster boasters	BOASTER n pl. -S one that boasts
boastful	BOASTFUL adj given to boasting
boat boatable boats boating boated	BOAT v -ED, -ING, -S to travel by boat (watercraft) BOATABLE adj
boatbill boatbills	BOATBILL n pl. -S a wading bird
boatel boatels	BOATEL n pl. -S a waterside hotel
boater boaters	BOATER n pl. -S one that boats
boatful boatfuls	BOATFUL n pl. -S as much as a boat can hold
boathook boathooks	BOATHOOK n pl. -S a pole with a metal hook for use aboard a boat
boating boatings	BOATING n pl. -S the sport of traveling by boat
boatlike	BOATLIKE adj resembling a boat
boatload boatloads	BOATLOAD n pl. -S the amount that a boat holds
boatman boatmen	BOATMAN n pl. -MEN one who works on boats
boatsman boatsmen	BOATSMAN n pl. -MEN boatman
boatyard boatyards	BOATYARD n pl. -S a marina
bob bobs bobbing bobbed	BOB v BOBBED, BOBBING, BOBS to move up and down
bobber bobbers	BOBBER n pl. -S one that bobs
bobbery bobberies	BOBBERY n pl. -BERIES a disturbance
bobbies	BOBBIES pl. of bobby
bobbin bobbins	BOBBIN n pl. -S a thread holder
bobbinet bobbinets	BOBBINET n pl. -S a machine-made net
bobbing	BOBBING present participle of bob
bobble bobbles bobbling bobbled	BOBBLE v -BLED, -BLING, -BLES to fumble
bobby	BOBBY n pl. -BIES a police officer
bobcat bobcats	BOBCAT n pl. -S a lynx
bobeche bobeches	BOBECHE n pl. -S a glass collar on a candle holder
bobolink bobolinks	BOBOLINK n pl. -S a songbird
bobsled bobsleds bobsledding bobsledded	BOBSLED v -SLEDDED, -SLEDDING, -SLEDS to ride on a bobsled (a racing sled)
bobstay bobstays	BOBSTAY n pl. -STAYS a steadying rope
bobtail bobtails bobtailing bobtailed	BOBTAIL v -ED, -ING, -S to cut short
bobwhite bobwhites	BOBWHITE n pl. -S a game bird
bocaccio bocaccios	BOCACCIO n pl. -CIOS a rockfish
bocce bocces	BOCCE n pl. -S boccie
bocci boccis	BOCCI n pl. -S boccie
boccia boccias	BOCCIA n pl. -S boccie
boccie boccies	BOCCIE n pl. -S an Italian bowling game
boche boches	BOCHE n pl. -S a German *deemed offensive*
bock bocks	BOCK n pl. -S a dark beer
bod bods	BOD n pl. -S a body
bode bodes boding boded	BODE v BODED, BODING, BODES to be an omen of
bodega bodegas	BODEGA n pl. -S a grocery store
bodement bodements	BODEMENT n pl. -S an omen
bodhran bodhrans	BODHRAN n pl. -S an Irish drum
bodice bodices	BODICE n pl. -S a corset
bodied	BODIED past tense of body
bodies	BODIES present 3d person sing. of body
bodiless	BODILESS adj lacking material form
bodily	BODILY adj of the body
boding bodings	BODING n pl. -S an omen
bodingly	BODINGLY adv ominously
bodkin bodkins	BODKIN n pl. -S a sharp instrument
body bodying	BODY v BODIED, BODYING, BODIES to give form to
bodysuit bodysuits	BODYSUIT n pl. -S a one-piece garment for the torso
bodysurf bodysurfs bodysurfing bodysurfed	BODYSURF v -ED, -ING, -S to ride a wave without a surfboard
bodywork bodyworks	BODYWORK n pl. -S a vehicle body
boehmite boehmites	BOEHMITE n pl. -S a mineral
boff boffs	BOFF n pl. -S a hearty laugh
boffin boffins	BOFFIN n pl. -S a scientific expert
boffo boffos	BOFFO n pl. -FOS a boff
boffola boffolas	BOFFOLA n pl. -S a boff
bog bogs bogging bogged	BOG v BOGGED, BOGGING, BOGS to impede
bogan bogans	BOGAN n pl. -S a backwater or tributary
bogbean bogbeans	BOGBEAN n pl. -S a marsh plant
bogey bogeys bogeying bogeyed	BOGEY v -GEYED, -GEYING, -GEYS to shoot in one stroke over par in golf
bogeyman bogeymen	BOGEYMAN n pl. -MEN a terrifying creature
bogged	BOGGED past tense of bog
boggier	BOGGIER comparative of boggy
boggiest	BOGGIEST superlative of boggy
bogging	BOGGING present participle of bog
boggish	BOGGISH adj boggy
boggle boggles boggling boggled	BOGGLE v -GLED, -GLING, -GLES to hesitate
boggler bogglers	BOGGLER n pl. -S one that causes another to boggle
boggy	BOGGY adj -GIER, -GIEST marshy
bogie bogies	BOGIE n pl. -S bogy
bogies	BOGIES pl. of bogy
bogle bogles	BOGLE n pl. -S a bogy
bogus	BOGUS adj not genuine; fake
bogwood bogwoods	BOGWOOD n pl. -S preserved tree wood
bogy	BOGY n pl. -GIES a goblin
bogyism bogyisms	BOGYISM n pl. -S behavior characteristic of a bogy
bogyman bogymen	BOGYMAN n pl. -MEN bogeyman
bohea boheas	BOHEA n pl. -S a black tea
bohemia bohemias	BOHEMIA n pl. -S a community of bohemians
bohemian bohemians	BOHEMIAN n pl. -S an unconventional person
bohunk bohunks	BOHUNK n pl. -S an unskilled laborer
boil boilable boils boiling boiled	BOIL v -ED, -ING, -S to vaporize liquid BOILABLE adj
boiler boilers	BOILER n pl. -S a vessel for boiling
boiloff boiloffs	BOILOFF n pl. -S the vaporization of a liquid
boing	BOING interj -- used to express the sound of reverberation or vibration
boiserie boiseries	BOISERIE n pl. -S wood paneling on a wall
boite boites	BOITE n pl. -S a nightclub
bola bolas	BOLA n pl. -S a throwing weapon
bolar	BOLAR adj pertaining to bole
bolas bolases	BOLAS n pl. -ES bola
bold boldly boldest bolder	BOLD adj BOLDER, BOLDEST daring BOLDLY adv
bold bolds	BOLD n pl. -S boldface
boldface boldfaces boldfacing boldfaced	BOLDFACE v -FACED, -FACING, -FACES to print in thick type
boldness boldnesses	BOLDNESS n pl. -ES the quality of being bold
bole boles	BOLE n pl. -S a fine clay
bolero boleros	BOLERO n pl. -ROS a Spanish dance
bolete boletes	BOLETE n pl. -S boletus
boletus boleti boletuses	BOLETUS n pl. -TUSES or -TI a fungus
bolide bolides	BOLIDE n pl. -S an exploding meteor
bolivar bolivares bolivars	BOLIVAR n pl. -S or -ES a monetary unit of Venezuela
bolivia bolivias	BOLIVIA n pl. -S a soft fabric
boll bolls bolling bolled	BOLL v -ED, -ING, -S to form pods
bollard bollards	BOLLARD n pl. -S a thick post on a ship or wharf
bollix bollixes bollixing bollixed	BOLLIX v -ED, -ING, -ES to bungle
bollocks	BOLLOCKS n/pl testicles
bollox bolloxes bolloxing bolloxed	BOLLOX v -ED, -ING, -ES to bollix
bollworm bollworms	BOLLWORM n pl. -S the larva of a certain moth
bolo bolos	BOLO n pl. -LOS a machete
bologna bolognas	BOLOGNA n pl. -S a seasoned sausage
boloney boloneys	BOLONEY n pl. -NEYS bologna
bolshie bolshies	BOLSHIE n pl. -S a Bolshevik
bolshy	BOLSHY n pl. -SHIES bolshie
bolson bolsons	BOLSON n pl. -S a flat arid valley
bolster bolsters bolstering bolstered	BOLSTER v -ED, -ING, -S to support
bolt bolts bolting bolted	BOLT v -ED, -ING, -S to sift
bolter bolters	BOLTER n pl. -S a sifting machine
bolthead boltheads	BOLTHEAD n pl. -S a matrass
bolthole boltholes	BOLTHOLE n pl. -S a place or way of escape
boltonia boltonias	BOLTONIA n pl. -S a perennial herb
boltrope boltropes	BOLTROPE n pl. -S a rope sewn to a sail
bolus boluses	BOLUS n pl. -ES a large pill
bomb bombs bombing bombed	BOMB v -ED, -ING, -S to attack with bombs (explosive projectiles)
bombard bombards bombarding bombarded	BOMBARD v -ED, -ING, -S to bomb
bombast bombasts	BOMBAST n pl. -S pompous language
bombax	BOMBAX adj pertaining to a family of tropical trees
bombe bombes	BOMBE n pl. -S a frozen dessert
bomber bombers	BOMBER n pl. -S one that bombs
bombesin bombesins	BOMBESIN n pl. -S a combination of amino acids
bombing bombings	BOMBING n pl. -S an attack with bombs
bombload bombloads	BOMBLOAD n pl. -S the quantity of bombs being carried
bombycid bombycids	BOMBYCID n pl. -S a moth
bombyx bombyxes	BOMBYX n pl. -ES a silkworm
bonaci bonacis	BONACI n pl. -S an edible fish
bonanza bonanzas	BONANZA n pl. -S a rich mine
bonbon bonbons	BONBON n pl. -S a sugared candy
bond bondable bonds bonding bonded	BOND v -ED, -ING, -S to join together BONDABLE adj
bondage bondages	BONDAGE n pl. -S slavery
bonder bonders	BONDER n pl. -S one that bonds
bonding bondings	BONDING n pl. -S the formation of a close personal relationship
bondmaid bondmaids	BONDMAID n pl. -S a female slave
bondman bondmen	BONDMAN n pl. -MEN a male slave
bondsman bondsmen	BONDSMAN n pl. -MEN bondman
bonduc bonducs	BONDUC n pl. -S a prickly seed
bone bones boning boned	BONE v BONED, BONING, BONES to debone
bonefish bonefishes	BONEFISH n pl. -ES a slender marine fish
bonehead boneheads	BONEHEAD n pl. -S a stupid person
boneless	BONELESS adj having no bones (hard connective tissue)
bonemeal bonemeals	BONEMEAL n pl. -S fertilizer or feed made from crushed bone
boner boners	BONER n pl. -S a blunder
boneset bonesets	BONESET n pl. -S a perennial herb
boney boniest bonier	BONEY adj BONIER, BONIEST bony
boneyard boneyards	BONEYARD n pl. -S a junkyard
bonfire bonfires	BONFIRE n pl. -S an open fire
bong bongs bonging bonged	BONG v -ED, -ING, -S to make a deep, ringing sound
bongo bongoes bongos	BONGO n pl. -GOS or -GOES a small drum
bongoist bongoists	BONGOIST n pl. -S a bongo player
bonhomie bonhomies	BONHOMIE n pl. -S friendliness
bonier	BONIER comparative of bony or boney
boniest	BONIEST superlative of bony or boney
boniface bonifaces	BONIFACE n pl. -S an innkeeper
boniness boninesses	BONINESS n pl. -ES the state of being bony
boning	BONING present participle of bone
bonita bonitas	BONITA n pl. -S bonito
bonito bonitoes bonitos	BONITO n pl. -TOS or -TOES a marine food fish
bonk bonks bonking bonked	BONK v -ED, -ING, -S to hit on the head with a hollow blow
bonkers	BONKERS adj crazy
bonne bonnes	BONNE n pl. -S a housemaid
bonnet bonnets bonneting bonneted	BONNET v -ED, -ING, -S to provide with a bonnet (a type of hat)
bonnie	BONNIE adj bonny
bonnock bonnocks	BONNOCK n pl. -S bannock
bonny bonnily bonniest bonnier	BONNY adj -NIER, -NIEST pretty BONNILY adv
bonsai	BONSAI n pl. BONSAI a potted shrub that has been dwarfed
bonspell bonspells	BONSPELL n pl. -S bonspiel
bonspiel bonspiels	BONSPIEL n pl. -S a curling match or tournament
bontebok bonteboks	BONTEBOK n pl. -S an antelope
bonus bonuses	BONUS n pl. -ES an additional payment
bony	BONY adj BONIER, BONIEST full of bones
bonze bonzes	BONZE n pl. -S a Buddhist monk
bonzer	BONZER adj very good
boo boos booing booed	BOO v -ED, -ING, -S to cry ``boo''
boob boobs boobing boobed	BOOB v -ED, -ING, -S to make a foolish mistake
boobie boobies	BOOBIE n pl. -S breast *deemed offensive*
boobish	BOOBISH adj doltish
booboo booboos	BOOBOO n pl. -BOOS a mistake
booby boobies	BOOBY n pl. -BIES a dolt
boodle boodles boodling boodled	BOODLE v -DLED, -DLING, -DLES to take bribes
boodler boodlers	BOODLER n pl. -S one that boodles
booger boogers	BOOGER n pl. -S a bogeyman
boogey boogeys boogeying boogeyed	BOOGEY v -GEYED, -GEYING, -GEYS boogie
boogie boogies boogying boogied	BOOGIE v -GIED, -GYING, -GIES to dance to rock music
boogy	BOOGY v -GIED, -GYING, -GIES boogie
boogyman boogymen	BOOGYMAN n pl. -MEN bogeyman
boohoo boohoos boohooing boohooed	BOOHOO v -ED, -ING, -S to weep noisily
book bookable books booking booked	BOOK v -ED, -ING, -S to engage services BOOKABLE adj
bookcase bookcases	BOOKCASE n pl. -S a case which holds books (literary volumes)
bookend bookends	BOOKEND n pl. -S a support for a row of books
booker bookers	BOOKER n pl. -S one that books
bookful bookfuls	BOOKFUL n pl. -S as much as a book can hold
bookie bookies	BOOKIE n pl. -S a bet taker
booking bookings	BOOKING n pl. -S an engagement
bookish	BOOKISH adj pertaining to books
booklet booklets	BOOKLET n pl. -S a small book
booklice	BOOKLICE n/pl wingless insects that damage books
booklore booklores	BOOKLORE n pl. -S book learning
bookman bookmen	BOOKMAN n pl. -MEN a scholar
bookmark bookmarks	BOOKMARK n pl. -S a marker for finding a place in a book
bookrack bookracks	BOOKRACK n pl. -S a support for an open book
bookrest bookrests	BOOKREST n pl. -S a bookrack
bookshop bookshops	BOOKSHOP n pl. -S a store where books are sold
bookworm bookworms	BOOKWORM n pl. -S an avid book reader
boom booms booming boomed	BOOM v -ED, -ING, -S to make a deep, resonant sound
boombox boomboxes	BOOMBOX n pl. -ES a portable radio and tape or compact disc player
boomer boomers	BOOMER n pl. -S one that booms
boomier	BOOMIER comparative of boomy
boomiest	BOOMIEST superlative of boomy
boomkin boomkins	BOOMKIN n pl. -S a bumkin
boomlet boomlets	BOOMLET n pl. -S a small increase in prosperity
boomtown boomtowns	BOOMTOWN n pl. -S a prospering town
boomy	BOOMY adj BOOMIER, BOOMIEST prospering
boon boons	BOON n pl. -S a timely benefit
boondock	BOONDOCK adj pertaining to a backwoods area
boonies	BOONIES n/pl a backwoods area
boor boors	BOOR n pl. -S a rude person
boorish	BOORISH adj rude
boost boosts boosting boosted	BOOST v -ED, -ING, -S to support
booster boosters	BOOSTER n pl. -S one that boosts
boot bootable boots booting booted	BOOT v -ED, -ING, -S to load a program into a computer BOOTABLE adj
bootee bootees	BOOTEE n pl. -S a baby's sock
bootery booteries	BOOTERY n pl. -ERIES a shoe store
booth booths	BOOTH n pl. -S a small enclosure
bootie booties	BOOTIE n pl. -S bootee
booties	BOOTIES pl. of booty
bootjack bootjacks	BOOTJACK n pl. -S a device for pulling off boots
bootlace bootlaces	BOOTLACE n pl. -S a shoelace
bootleg bootlegs bootlegging bootlegged	BOOTLEG v -LEGGED, -LEGGING, -LEGS to smuggle
bootless	BOOTLESS adj useless
bootlick bootlicks bootlicking bootlicked	BOOTLICK v -ED, -ING, -S to flatter servilely
booty	BOOTY n pl. -TIES a rich gain or prize
booze boozes boozing boozed	BOOZE v BOOZED, BOOZING, BOOZES to drink liquor excessively
boozer boozers	BOOZER n pl. -S one that boozes
boozy boozily booziest boozier	BOOZY adj BOOZIER, BOOZIEST drunken BOOZILY adv
bop bops bopping bopped	BOP v BOPPED, BOPPING, BOPS to hit or strike
bopeep bopeeps	BOPEEP n pl. -S a game of peekaboo
bopper boppers	BOPPER n pl. -S a bebopper
bora boras	BORA n pl. -S a cold wind
boraces	BORACES a pl. of borax
boracic	BORACIC adj boric
boracite boracites	BORACITE n pl. -S a mineral
borage borages	BORAGE n pl. -S a medicinal herb
boral borals	BORAL n pl. -S a mixture of boron carbide and aluminum
borane boranes	BORANE n pl. -S a chemical compound
borate borates borating borated	BORATE v -RATED, -RATING, -RATES to mix with borax or boric acid
borax boraxes	BORAX n pl. -RAXES or -RACES a white crystalline compound
bordeaux	BORDEAUX n pl. BORDEAUX a red or white wine
bordel bordels	BORDEL n pl. -S a brothel
bordello bordellos	BORDELLO n pl. -LOS a brothel
border borders bordering bordered	BORDER v -ED, -ING, -S to put a border (an edge) on
borderer borderers	BORDERER n pl. -S one that borders
bordure bordures	BORDURE n pl. -S a border around a shield
bore bores boring bored	BORE v BORED, BORING, BORES to pierce with a rotary tool
boreal	BOREAL adj pertaining to the north
borecole borecoles	BORECOLE n pl. -S kale
bored	BORED past tense of bore
boredom boredoms	BOREDOM n pl. -S tedium
boreen boreens	BOREEN n pl. -S a lane in Ireland
borehole boreholes	BOREHOLE n pl. -S a hole bored in the earth
borer borers	BORER n pl. -S one that bores
boresome	BORESOME adj tedious
boric	BORIC adj pertaining to boron
boride borides	BORIDE n pl. -S a boron compound
boring borings	BORING n pl. -S an inner cavity
boringly	BORINGLY adv tediously
born	BORN adj having particular qualities from birth
borne	BORNE a past participle of bear
borneol borneols	BORNEOL n pl. -S an alcohol
bornite bornites	BORNITE n pl. -S an ore of copper
boron boronic borons	BORON n pl. -S a nonmetallic element BORONIC adj
borough boroughs	BOROUGH n pl. -S an incorporated town
borrow borrows borrowing borrowed	BORROW v -ED, -ING, -S to take on loan
borrower borrowers	BORROWER n pl. -S one that borrows
borsch borsches	BORSCH n pl. -ES borscht
borscht borschts	BORSCHT n pl. -S a beet soup
borsht borshts	BORSHT n pl. -S borscht
borstal borstals	BORSTAL n pl. -S a reformatory
bort borty borts	BORT n pl. -S a low-quality diamond BORTY adj
bortz bortzes	BORTZ n pl. -ES bort
borzoi borzois	BORZOI n pl. -S a Russian hound
boscage boscages	BOSCAGE n pl. -S a thicket
boschbok boschboks	BOSCHBOK n pl. -S bushbuck
bosh boshes	BOSH n pl. -ES nonsense
boshbok boshboks	BOSHBOK n pl. -S bushbuck
boshvark boshvarks	BOSHVARK n pl. -S a wild hog
bosk bosks	BOSK n pl. -S a small wooded area
boskage boskages	BOSKAGE n pl. -S boscage
bosker	BOSKER adj fine; very good
bosket boskets	BOSKET n pl. -S a thicket
bosky boskiest boskier	BOSKY adj BOSKIER, BOSKIEST wooded; bushy
bosom bosoms bosoming bosomed	BOSOM v -ED, -ING, -S to embrace
bosomy	BOSOMY adj swelling outward
boson bosons	BOSON n pl. -S a subatomic particle
bosque bosques	BOSQUE n pl. -S bosk
bosquet bosquets	BOSQUET n pl. -S bosket
boss bosses bossing bossed	BOSS v -ED, -ING, -ES to supervise
bossdom bossdoms	BOSSDOM n pl. -S the domain of a political boss
bossier	BOSSIER comparative of bossy
bossies	BOSSIES pl. of bossy
bossism bossisms	BOSSISM n pl. -S control by political bosses
bossy	BOSSY n pl. BOSSIES a cow
bossy bossily bossiest	BOSSY adj BOSSIER, BOSSIEST domineering BOSSILY adv
boston bostons	BOSTON n pl. -S a card game
bosun bosuns	BOSUN n pl. -S a boatswain
bot bots	BOT n pl. -S the larva of a botfly
bota botas	BOTA n pl. -S a leather bottle
botanic	BOTANIC adj pertaining to botany
botanica botanicas	BOTANICA n pl. -S a shop that sells herbs and magic charms
botanies	BOTANIES pl. of botany
botanise botanises botanising botanised	BOTANISE v -NISED, -NISING, -NISES to botanize
botanist botanists	BOTANIST n pl. -S one skilled in botany
botanize botanizes botanizing botanized	BOTANIZE v -NIZED, -NIZING, -NIZES to study plants
botany	BOTANY n pl. -NIES the science of plants
botch botches botching botched	BOTCH v -ED, -ING, -ES to bungle
botcher botchers	BOTCHER n pl. -S one that botches
botchery botcheries	BOTCHERY n pl. -ERIES something botched
botchy botchily botchiest botchier	BOTCHY adj BOTCHIER, BOTCHIEST badly done BOTCHILY adv
botel botels	BOTEL n pl. -S boatel
botfly botflies	BOTFLY n pl. -FLIES a type of fly
both	BOTH adj being the two
bother bothers bothering bothered	BOTHER v -ED, -ING, -S to annoy
bothrium bothriums bothria	BOTHRIUM n pl. -RIA or -RIUMS a groove on a tapeworm
bothy bothies	BOTHY n pl. BOTHIES a hut in Scotland
botonee	BOTONEE adj having arms ending in a trefoil -- used of a heraldic cross
botonnee	BOTONNEE adj botonee
botryoid	BOTRYOID adj resembling a cluster of grapes
botryose	BOTRYOSE adj botryoid
botrytis botrytises	BOTRYTIS n pl. -TISES a plant disease
bott botts	BOTT n pl. -S bot
bottle bottles bottling bottled	BOTTLE v -TLED, -TLING, -TLES to put into a bottle (a rigid container)
bottler bottlers	BOTTLER n pl. -S one that bottles
bottling bottlings	BOTTLING n pl. -S a bottled beverage
bottom bottoms bottoming bottomed	BOTTOM v -ED, -ING, -S to comprehend
bottomer bottomers	BOTTOMER n pl. -S one that bottoms
bottomry bottomries	BOTTOMRY n pl. -RIES a maritime contract
botulin botulins	BOTULIN n pl. -S a nerve poison
botulism botulisms	BOTULISM n pl. -S botulin poisoning
boubou boubous	BOUBOU n pl. -S a long flowing garment
bouchee bouchees	BOUCHEE n pl. -S a small patty shell
boucle boucles	BOUCLE n pl. -S a knitted fabric
boudoir boudoirs	BOUDOIR n pl. -S a woman's bedroom
bouffant bouffants	BOUFFANT n pl. -S a woman's hairdo
bouffe bouffes	BOUFFE n pl. -S a comic opera
bough boughed boughs	BOUGH n pl. -S a tree branch BOUGHED adj
boughpot boughpots	BOUGHPOT n pl. -S a large vase
bought	BOUGHT past tense of buy
boughten	BOUGHTEN adj purchased
bougie bougies	BOUGIE n pl. -S a wax candle
bouillon bouillons	BOUILLON n pl. -S a clear broth
boulder bouldery boulders	BOULDER n pl. -S a large rock BOULDERY adj
boule boules	BOULE n pl. -S buhl
boulle boulles	BOULLE n pl. -S buhl
bounce bounces bouncing bounced	BOUNCE v BOUNCED, BOUNCING, BOUNCES to spring back
bouncer bouncers	BOUNCER n pl. -S one that bounces
bouncy bouncily bounciest bouncier	BOUNCY adj BOUNCIER, BOUNCIEST tending to bounce BOUNCILY adv
bound bounds bounding bounded	BOUND v -ED, -ING, -S to leap
boundary boundaries	BOUNDARY n pl. -ARIES a dividing line
bounden	BOUNDEN adj obliged
bounder bounders	BOUNDER n pl. -S one that bounds
bounty bountied bounties	BOUNTY n pl. -TIES a reward BOUNTIED adj
bouquet bouquets	BOUQUET n pl. -S a bunch of flowers
bourbon bourbons	BOURBON n pl. -S a whiskey
bourdon bourdons	BOURDON n pl. -S a part of a bagpipe
bourg bourgs	BOURG n pl. -S a medieval town
bourgeon bourgeons bourgeoning bourgeoned	BOURGEON v -ED, -ING, -S to burgeon
bourn bourns	BOURN n pl. -S a stream
bourne bournes	BOURNE n pl. -S bourn
bourree bourrees	BOURREE n pl. -S an old French dance
bourride bourrides	BOURRIDE n pl. -S a fish stew
bourse bourses	BOURSE n pl. -S a stock exchange
bourtree bourtrees	BOURTREE n pl. -S a European tree
bouse bouses bousing boused	BOUSE v BOUSED, BOUSING, BOUSES to haul by means of a tackle
bousouki bousoukis bousoukia	BOUSOUKI n pl. -KIA or -KIS bouzouki
bousy	BOUSY adj boozy
bout bouts	BOUT n pl. -S a contest
boutique boutiques	BOUTIQUE n pl. -S a small shop
