# 🚨
# 🚨 Source: https://download.geonames.org/export/dump/hierarchy.zip::hierarchy.txt
# 🚨
6295630	6255146	ADM
6295630	6255152	ADM
6295630	6255147	ADM
6295630	6255148	ADM
6295630	6255149	ADM
6295630	6255151	ADM
6295630	6255150	ADM
6255148	3041565	ADM
6255147	290557	ADM
6255147	1149361	ADM
6255149	3576396	ADM
6255149	3573511	ADM
6255148	783754	ADM
6255147	174982	ADM
6255149	8505032	ADM
6255146	3351879	ADM
6255152	6697173	ADM
6255150	3865483	ADM
6255151	5880801	ADM
6255148	2782113	ADM
6255151	2077456	ADM
6255149	3577279	ADM
6255148	661882	ADM
6255147	587116	ADM
6255148	3277605	ADM
6255149	3374084	ADM
6255147	1210997	ADM
6255148	2802361	ADM
6255146	2361809	ADM
6255148	732800	ADM
6255147	290291	ADM
6255146	433561	ADM
6255146	2395170	ADM
6255149	3578476	ADM
6255149	3573345	ADM
6255147	1820814	ADM
6255150	3923057	ADM
6255149	7626844	ADM
6255150	3469034	ADM
6255149	3572887	ADM
6255147	1252634	ADM
6255152	3371123	ADM
6255146	933860	ADM
6255148	630336	ADM
6255149	3582678	ADM
6255149	6251999	ADM
6255147	1547376	ADM
6255146	203312	ADM
6255146	239880	ADM
6255146	2260494	ADM
6255148	2658434	ADM
6255146	2287781	ADM
6255151	1899402	ADM
6255150	3895114	ADM
6255146	2233387	ADM
6255147	1814991	ADM
6255150	3686110	ADM
6255149	3624060	ADM
6255148	8505033	ADM
6255149	3562981	ADM
6255146	3374766	ADM
6255149	7626836	ADM
6255151	2078138	ADM
6255148	146669	ADM
6255148	3077311	ADM
6255148	2921044	ADM
6255146	223816	ADM
6255148	2623032	ADM
6255149	3575830	ADM
6255149	3508796	ADM
6255146	2589581	ADM
6255150	3658394	ADM
6255148	453733	ADM
6255146	357994	ADM
6255146	2461445	ADM
6255146	338010	ADM
6255148	2510769	ADM
6255146	337996	ADM
6255148	660013	ADM
6255151	2205218	ADM
6255150	3474414	ADM
6255151	2081918	ADM
6255148	2622320	ADM
6255148	3017382	ADM
6255146	2400553	ADM
6255148	2635167	ADM
6255149	3580239	ADM
6255147	614540	ADM
6255150	3381670	ADM
6255148	3042362	ADM
6255146	2300660	ADM
6255148	2411586	ADM
6255149	3425505	ADM
6255146	2413451	ADM
6255146	2420477	ADM
6255149	3579143	ADM
6255146	2309096	ADM
6255148	390903	ADM
6255152	3474415	ADM
6255149	3595528	ADM
6255151	4043988	ADM
6255146	2372248	ADM
6255150	3378535	ADM
6255147	1819730	ADM
6255152	1547314	ADM
6255149	3608932	ADM
6255148	3202326	ADM
6255149	3723988	ADM
6255148	719819	ADM
6255147	1643084	ADM
6255148	2963597	ADM
6255147	294640	ADM
6255148	3042225	ADM
6255147	1269750	ADM
6255147	1282588	ADM
6255147	99237	ADM
6255147	130758	ADM
6255148	2629691	ADM
6255148	3175395	ADM
6255148	3042142	ADM
6255149	3489940	ADM
6255147	248816	ADM
6255147	1861060	ADM
6255146	192950	ADM
6255147	1527747	ADM
6255147	1831722	ADM
6255151	4030945	ADM
6255146	921929	ADM
6255149	3575174	ADM
6255147	1873107	ADM
6255147	1835841	ADM
6255147	285570	ADM
6255149	3580718	ADM
6255147	1522867	ADM
6255147	1655842	ADM
6255147	272103	ADM
6255149	3576468	ADM
6255148	3042058	ADM
6255147	1227603	ADM
6255146	2275384	ADM
6255146	932692	ADM
6255148	597427	ADM
6255148	2960313	ADM
6255148	458258	ADM
6255146	2215636	ADM
6255146	2542007	ADM
6255148	2993457	ADM
6255148	617790	ADM
6255148	3194884	ADM
6255149	3578421	ADM
6255146	1062947	ADM
6255151	2080185	ADM
6255148	718075	ADM
6255146	2453866	ADM
6255147	1327865	ADM
6255147	2029969	ADM
6255147	1821275	ADM
6255151	4041468	ADM
6255149	3570311	ADM
6255146	2378080	ADM
6255149	3578097	ADM
6255148	2562770	ADM
6255146	934292	ADM
6255147	1282028	ADM
6255146	927384	ADM
6255149	3996063	ADM
6255147	1733045	ADM
6255146	1036973	ADM
6255146	3355338	ADM
6255151	2139685	ADM
6255146	2440476	ADM
6255151	2155115	ADM
6255146	2328926	ADM
6255149	3617476	ADM
6255148	2750405	ADM
6255148	3144096	ADM
6255147	1282988	ADM
6255151	2110425	ADM
6255151	4036232	ADM
6255151	2186224	ADM
6255147	286963	ADM
6255149	3703430	ADM
6255150	3932488	ADM
6255151	4030656	ADM
6255151	2088628	ADM
6255147	1694008	ADM
6255147	1168579	ADM
6255148	798544	ADM
6255149	3424932	ADM
6255151	4030699	ADM
6255149	4566966	ADM
6255147	6254930	ADM
6255148	2264397	ADM
6255151	1559582	ADM
6255150	3437598	ADM
6255147	289688	ADM
6255146	935317	ADM
6255148	798549	ADM
6255148	6290252	ADM
6255148	2017370	ADM
6255146	49518	ADM
6255147	102358	ADM
6255151	2103350	ADM
6255146	241170	ADM
6255146	366755	ADM
6255148	2661886	ADM
6255147	1880251	ADM
6255146	3370751	ADM
6255148	3190538	ADM
6255148	607072	ADM
6255148	3057568	ADM
6255146	2403846	ADM
6255148	3168068	ADM
6255146	2245662	ADM
6255146	51537	ADM
6255150	3382998	ADM
6255146	7909807	ADM
6255146	2410758	ADM
6255149	3585968	ADM
6255149	7609695	ADM
6255147	163843	ADM
6255146	934841	ADM
6255149	3576916	ADM
6255146	2434508	ADM
6255152	1546748	ADM
6255146	2363686	ADM
6255147	1605651	ADM
6255147	1220409	ADM
6255151	4031074	ADM
6255151	1966436	ADM
6255147	1218197	ADM
6255146	2464461	ADM
6255151	4032283	ADM
6255147	298795	ADM
6255149	3573591	ADM
6255151	2110297	ADM
6255147	1668284	ADM
6255146	149590	ADM
6255148	690791	ADM
6255146	226074	ADM
6255151	5854968	ADM
6255149	6252001	ADM
6255150	3439705	ADM
6255147	1512440	ADM
6255148	3164670	ADM
6255149	3577815	ADM
6255150	3625428	ADM
6255149	3577718	ADM
6255149	4796775	ADM
6255147	1562822	ADM
6255151	2134431	ADM
6255151	4034749	ADM
6255151	4034894	ADM
6255148	831053	ADM
6255147	69543	ADM
6255146	1024031	ADM
6255146	953987	ADM
6255146	895949	ADM
6255146	878675	ADM
3508796	6201372	ADM
2378080	2379024	ADM
2372248	2374776	ADM
2395170	2392716	ADM
2395170	2394992	ADM
4566966	4565348	ADM
4566966	4563380	ADM
4566966	4565910	ADM
4566966	4565961	ADM
4566966	4565900	ADM
4566966	4566456	ADM
4566966	4568150	ADM
4566966	4568452	ADM
2103350	2106552	ADM
2110425	2110449	ADM
2103350	2178730	ADM
718075	11398357	ADM
2080185	7303501	ADM
2080185	7303493	ADM
2080185	7303494	ADM
2080185	7303495	ADM
2080185	7303497	ADM
2080185	7303499	ADM
2080185	7303502	ADM
2080185	7303504	ADM
2080185	7303509	ADM
2080185	7303510	ADM
2080185	7303514	ADM
2080185	7303519	ADM
2080185	7303522	ADM
2080185	7303523	ADM
2400553	2396925	ADM
617790	617656	ADM
289688	389465	ADM
587116	587245	ADM
718075	862946	ADM
718075	863871	ADM
718075	862961	ADM
718075	863468	ADM
718075	863485	ADM
718075	863918	ADM
718075	786339	ADM
718075	863870	ADM
718075	863875	ADM
718075	863881	ADM
1546748	6690917	ADM
226074	8260673	ADM
226074	8260674	ADM
3573511	11205396	ADM
5880801	7309441	ADM
933860	11778168	ADM
3042225	9782193	ADM
3042225	9782166	ADM
3190538	3239259	ADM
3573345	3573031	ADM
2960313	2960514	ADM
3723988	3719536	ADM
3723988	3731053	ADM
5880801	5881436	ADM
3572887	8030543	ADM
3572887	8030547	ADM
3572887	8030551	ADM
3572887	8030552	ADM
3572887	8030553	ADM
3572887	8030554	ADM
203312	11288215	ADM
3190538	11288255	ADM
2453866	12070577	ADM
2300660	2294291	ADM
69543	79416	ADM
272103	6201371	ADM
3508796	6201373	ADM
617790	617077	ADM
203312	216661	ADM
617790	618119	ADM
831053	10097359	ADM
2328926	2565343	ADM
289688	389470	ADM
69543	75411	ADM
49518	6413338	ADM
3042362	6417229	ADM
3042362	6417223	ADM
149590	148725	ADM
149590	150602	ADM
2434508	244877	ADM
3194884	12104729	ADM
2300660	12105069	ADM
2300660	12105070	ADM
2300660	12105072	ADM
3573511	11205441	ADM
3573511	11205436	ADM
5880801	5880873	ADM
1210997	1477362	ADM
5880801	5881199	ADM
433561	422233	ADM
433561	425550	ADM
272103	6201370	ADM
597427	864479	ADM
1733045	1733036	ADM
2275384	2275344	ADM
2328926	2327546	ADM
2275384	2276622	ADM
2328926	2325190	ADM
2372248	2372533	ADM
2372248	2375255	ADM
2440476	2445486	ADM
69543	80412	ADM
3351879	876337	ADM
146669	146213	ADM
3351879	3349234	ADM
146669	146267	ADM
146669	146383	ADM
146669	146411	ADM
146669	146615	ADM
927384	923817	ADM
241170	11876017	ADM
51537	64538	ADM
1252634	1337279	ADM
2453866	12070575	ADM
1282028	1282447	ADM
1327865	1293118	ADM
933860	933851	ADM
203312	11288216	ADM
2103350	7280292	ADM
2088628	2098593	ADM
2103350	2108262	ADM
2103350	2109495	ADM
2103350	2178472	ADM
2088628	2091993	ADM
2328926	2332453	ADM
1643084	1650535	ADM
2372248	2374312	ADM
1024031	7521435	ADM
1024031	7521434	ADM
2395170	2392325	ADM
2395170	2395504	ADM
2413451	2412353	ADM
2413451	2413875	ADM
2233387	2222934	ADM
2233387	2231755	ADM
3351879	2240444	ADM
831053	10096859	ADM
2260494	2258534	ADM
2275384	2275099	ADM
2275384	2276627	ADM
2275384	2278324	ADM
660013	830695	ADM
239880	2596686	ADM
2395170	2597273	ADM
2328926	2597364	ADM
2328926	2597365	ADM
2328926	2597367	ADM
2088628	2089478	ADM
5854968	5854926	ADM
2080185	7303491	ADM
2080185	7303492	ADM
2080185	7303498	ADM
2080185	7303503	ADM
2080185	7303507	ADM
3573591	7521946	ADM
2434508	2434478	ADM
3625428	3830309	ADM
2080185	7303516	ADM
2080185	7303517	ADM
2080185	7303518	ADM
433561	428514	ADM
3190538	3199522	ADM
3190538	3201252	ADM
3573591	7521943	ADM
3573591	7521945	ADM
3190538	3190949	ADM
3194884	3191221	ADM
3190538	3193964	ADM
3190538	3194647	ADM
3190538	3198646	ADM
226074	234594	ADM
433561	427700	ADM
587116	828306	ADM
587116	828301	ADM
