name,sex,meaning,origin
A'ishah,F,Lively,Arabic
Aakarshan,M,Attraction,Indian
Aaliyah,F,High exalted,Arabic
Aaliyah,F,To ascend,Hebrew
Aaron,M,Appeared in Titus Andronicus,Shakespearian
Aaron,M,"Revered, Sharer",Hebrew
Aaron,M,"Shining light, High mountain, Messenger",Arabic
Aarone,M,"Revered, Sharer",Hebrew
Aayesha,F,The prophet Muhammad's wife,Arabic
Ab,M,Allah's Servant,Arabic
Aba,M,Bright,Spanish
Aba,M,Father,Hungarian
Aba,F,Born on Thursday,African
Abacas,M,"Device for doing calculations, Clever",English
Abacus,M,"Device for doing calculations, Clever",English
Abagail,F,A father's joy,Hebrew
Abagail,F,Head of a monastery,Latin
Abaigael,F,Bringer of joy,Hebrew
Abaigeal,F,Bringer of joy,Hebrew
Abakus,M,"Device for doing calculations, Clever",English
Abarrane,F,Father of many,Hebrew
Abba,M,"Device for doing calculations, Clever",English
Abba,M,Father,Arabic
Abba,M,Father,Hebrew
Abba,F,Born on Thursday,African
Abbas,M,Harsh,Arabic
Abbe,M,Father,Arabic
Abbe,M,Father,Hebrew
Abbe,F,A father's joy,Hebrew
Abbe,F,Head of a monastery,Latin
Abbey,M,A father's joy,Hebrew
Abbey,M,Firm,German
Abbey,F,Bringer of joy,Hebrew
Abbey,F,Head of a monastery,Latin
Abbiah,M,The Lord is my father,Hebrew
Abbie,F,Bringer of joy,Hebrew
Abbie,F,Head of a monastery,Latin
Abbitt,M,"Father, Leader",Hebrew
Abbondanzio,M,Plentiful,Latin
Abbondazio,M,Plentiful,Latin
Abbondio,M,Plentiful,Latin
Abbot,M,Father,Arabic
Abbot,M,Father,Hebrew
Abbott,M,Father,Arabic
Abbott,M,Father,Hebrew
Abby,M,Firm,German
Abby,M,Spiritual,Hebrew
Abby,F,Bringer of joy,Hebrew
Abby,F,Head of a monastery,Latin
Abdallah,M,Allah's Servant,Arabic
Abdel,M,Allah's Servant,Arabic
Abdia,M,Servant of God,Hebrew
Abdiel,M,Servant of God,Hebrew
Abdieso,M,Servant of God,Persian
Abdon,M,Allah's Servant,Arabic
Abdone,M,Allah's Servant,Arabic
Abdul,M,Allah's Servant,Arabic
Abdul-Jabbar,M,Comforting,Arabic
Abdulah,M,Allah's Servant,Arabic
Abdulla,M,Allah's Servant,Arabic
Abdullah,M,Allah's Servant,Arabic
Abe,M,Firm,German
Abe,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abeba,F,Flower,African
Abebi,F,We asked and got her,African
Abedabun,F,Sight of day (Chippewa),Native American
Abeer,M,Strong,Hebrew
Abegayle,F,Bringer of joy,Hebrew
Abejundio,M,Relating to the abaje (bee),Spanish
Abel,M,"Breath, Child",Arabic
Abel,M,Firm,German
Abel,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abel,M,"Son of Adam and Eve, Naïve",Spanish
Abelard,M,"Resolute, Keeper of the abbey larder",English
Abelard,M,"Resolute, Keeper of the abbey larder",German
Abelardo,M,"Resolute, Keeper of the abbey larder",English
Abelardo,M,"Resolute, Keeper of the abbey larder",German
Abele,M,"Breath, Child",Arabic
Abele,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abelerd,M,Firm,German
Abelino,M,"Son of Adam and Eve, Naïve",Spanish
Abell,M,"Breath, Child",Arabic
Abell,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abella,F,Breath,French
Abella,F,Child,Arabic
Abena,F,Females born on Tuesday,African
Abequa,F,Stays at home (Chippewa),Native American
Abeque,F,Stays at home (Chippewa),Native American
Abey,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abey,F,Leaf,Native American
Abha,F,Lustrous beauty,Indian
Abhay,M,"Son of Dharma, Fearless",Indian
Abhaya,F,Fearless,Indian
Abhijat,M,"Noble, Wise",Indian
Abhijit,M,One who is victorious (Abhijeet),Indian
Abhilasha,F,Desire,Indian
Abhinav,M,Quite new,Indian
Abhishek,M,"Shower of milk, Water over an idol",Indian
Abhorson,M,Appeared in Measure for Measure,Shakespearian
Abhy,F,Bringer of joy,Hebrew
Abia,M,The Lord is my father,Hebrew
Abia,F,Great,Arabic
Abiageal,F,Bringer of joy,Irish
Abiam,M,The Lord is my father,Hebrew
Abichail,F,Bringer of joy,Hebrew
Abie,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abigail,F,A father's joy,Hebrew
Abigail,F,Head of a monastery,Latin
Abigale,F,A father's joy,Hebrew
Abigale,F,Head of a monastery,Latin
Abigayle,F,A father's joy,Hebrew
Abigayle,F,Head of a monastery,Latin
Abihail,F,A father's joy,Hebrew
Abihail,F,Head of a monastery,Latin
Abijah,M,The Lord is my father,Hebrew
Abilio,F,A father's joy,Hebrew
Abilio,F,Head of a monastery,Latin
Abina,F,Born on Tuesday,African
Abiona,F,Born on a journey,African
Abir,M,Strong,Hebrew
Abir,F,Fragrant,Arabic
Abira,F,Strong,Hebrew
Able,M,"Breath, Child",Arabic
Able,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Able,M,"Son of Adam and Eve, Naïve",Spanish
Abner,M,Cheerful leader,Hebrew
Abnir,M,Cheerful leader,Hebrew
Abnor,M,Cheerful leader,Hebrew
Abod,M,Father,Hungarian
Abony,M,Father,Hungarian
Abos,M,Father,Hungarian
Abott,M,"Father, Leader",Hebrew
Abotte,M,"Father, Leader",Hebrew
Abra,M,Father of many,Hebrew
Abra,F,Lesson,Arabic
Abra,F,Mother of many,Hebrew
Abraham,M,Appeared in Romeo & Juliet,Shakespearian
Abraham,M,Father of many,Hebrew
Abrahim,M,Father of many,Hebrew
Abrahm,M,Father of many,Hebrew
Abram,M,Father of many,Hebrew
Abramio,M,Father of many,Hebrew
Abramo,M,Father of many,Hebrew
Abran,M,Father of many,Hebrew
Abrasha,M,Father,Hebrew
Abraxas,M,Bright,Spanish
Abrihet,F,"She has made it light, She emanates light",African
Abril,F,"The month April, Spring",Spanish
Abs,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Absa,M,Father,Arabic
Absa,M,Father,Hebrew
Absalom,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abul,M,Allah's Servant,Arabic
Abun,M,Abundant living,Spanish
Abund,M,Abundant living,Spanish
Abundiantus,M,Plentiful,Latin
Abundio,M,Abundant living,Spanish
Acacia,F,Honorable,Spanish
Acacia,F,Thorny,African
Acacia,F,"Thorny, Naive",Greek
Acacio,M,The Lord holds,Hebrew
Acanit,F,Hard times,African
Acantha,F,Thorny,Greek
Acario,M,Ungrateful,Latin
Acatia,F,"Thorny, Naive",Greek
Acazia,F,"Thorny, Naive",Greek
Acca,F,From Acca,Anglo-Saxon
Accalia,F,Foster mother of Romulus and Remus,Latin
Accorso,M,To hasten,Latin
Accursio,M,To hasten,Latin
Accursius,M,To hasten,Latin
Ace,M,"One, Unity",Latin
Acelin,F,Noble,Teutonic
Aceline,F,Noble,French
Acey,M,"One, Unity",Latin
Achal,F,"Steady, Mountainous",Indian
Achala,F,"Steady, Mountain",Indian
Achan,F,Female child in the first pair of twins,African
Acharius,M,Ungrateful,Latin
Achazia,F,The Lord holds,Hebrew
Achazio,M,The Lord holds,Hebrew
Acheflow,F,White flower,Arthurian Legend
Achen,F,A twin,African
Achill,M,Hero of the Iliad,Greek
Achilla,M,Hero of the Iliad,Greek
Achille,M,Hero of the Iliad,Greek
Achilleo,M,Hero of the Iliad,Greek
Achilles,M,Appeared in Troilus & Cressida,Shakespearian
Achilles,M,Hero of the Iliad,Greek
Achintya,M,Beyond comprehension,Indian
Achlys,F,"Mist, Darknesss",Greek
Achyuta,M,"Indestructible, A name of Vishnu",Indian
Ackerley,M,Meadow of oaks,English
Ackill,M,Hero of the Iliad,Greek
Ackley,M,Meadow of oaks,English
Acton,M,Town with many oaks,English
Acuzio,M,Sharp,Latin
Ada,F,First born females,African
Ada,F,Happy,Teutonic
Ada,F,Joyful,German
Ada,F,Noble kind,Hebrew
Ada,F,Wealthy,English
Adah,M,Happy,Teutonic
Adah,M,Noble kind,Hebrew
Adah,F,Adorned,Latin
Adah,F,"Adorned with beauty, Spectacular ornament",Hebrew
Adah,F,Happy,Teutonic
Adailia,F,Adorned,Latin
Adailia,F,Noble kind,Hebrew
Adair,M,"Noble, Exalted, Oak-tree ford",Gaelic
Adair,F,From the oak tree ford,Scottish
Adaira,F,From the oak tree ford,Scottish
Adairia,F,From the oak tree ford,Scottish
Adal,F,"Sweet, Noble",German
Adalardo,M,Noble,Celtic
Adalbeorht,F,Noble,English
Adalbert,M,Famous for nobility,German
Adalberto,M,Famous for nobility,German
Adalbrechta,F,Noble,English
Adalee,F,Adorned,Latin
Adalee,F,Noble kind,Hebrew
Adalene,F,Good humor,French
Adalfreddo,M,Who protects the descendants,German
Adalfredo,M,Who protects the descendants,German
Adalfrid,M,Who protects the descendants,German
Adalgisa,F,Noble hostage,German
Adalgisal,F,Noble hostage,German
Adalgiso,M,Noble hostage,German
Adalheida,F,"Sweet, Noble",German
Adalheld,F,Adorned,Latin
Adalheld,F,Noble kind,Hebrew
Adalhelm,M,Noble protector,German
Adali,F,Noble,German
Adalia,F,Adorned,Latin
Adalia,F,Just,Arabic
Adalia,F,Noble,German
Adalia,F,"Of the nobility, Noble",Spanish
Adalia,F,"Refuge of God, Just, Noble one",Hebrew
Adalicia,F,"Of the nobility, Noble",French
Adalicia,F,"Of the nobility, Noble",German
Adalie,F,Noble,German
Adalie,F,"Of the nobility, Noble",French
Adaliz,F,"Of the nobility, Noble",French
Adaliz,F,"Of the nobility, Noble",German
Adalrich,M,"Noble, Powerful and rich",German
Adalrich,M,"Noble, Powerful and rich",Latin
Adalrico,M,"Noble, Powerful and rich",German
Adalrico,M,"Noble, Powerful and rich",Latin
Adalricus,M,"Noble, Powerful and rich",German
Adalricus,M,"Noble, Powerful and rich",Latin
Adalwolfa,F,"Noble wolf, Noble hero",German
Adalyn,F,Good humor,French
Adam,M,Appeared in As You Like It,Shakespearian
Adam,M,Created by God,Hebrew
Adama,F,"Beautiful child, Queenly",African
Adamah,M,Created by God,Hebrew
Adamina,F,Dauggher of the earth,Hebrew
Adamo,M,Created by God,Hebrew
Adams,M,Created by God,Hebrew
Adamson,M,Created by God,Hebrew
Adan,M,Created by God,Hebrew
Adan,F,Little fire,Irish
Adana,F,Created by God,Spanish
Adanech,F,She has rescued them,African
Adanna,F,Father's daughter,African
Adar,F,Fire,Hebrew
Adara,F,Adorned,Latin
Adara,F,"Beauty, Virgin",Arabic
Adara,F,From the ford at the oak tree,Irish
Adara,F,Noble kind,Hebrew
Adara,F,Virgin,Greek
Adaulfo,M,"Noble wolf, Noble hero",German
Adda,F,Wealthy,English
Addai,M,Man of God,Hebrew
Addi,F,Created by God,Hebrew
Addie,M,Created by God,Hebrew
Addie,F,Adorned,Latin
Addie,F,Created by God,Hebrew
Addie,F,Good humor,French
Addisen,M,Adam's son,English
Addisyn,F,"Joyful, Kind",Hebrew
Addo,M,Created by God,Hebrew
Addo,M,Happy,Teutonic
Addolorata,F,"Lady of sorrows, From the virgin Mary",Latin
Addy,M,Created by God,Hebrew
Ade,F,A mistress of Lancelot,Arthurian Legend
Adeben,M,Twelfth-born son,African
Adeen,F,Little fire,Irish
Adela,F,Adorned,Latin
Adela,F,Good humor,French
Adela,F,Noble kind,Hebrew
Adela,F,Of nobility,Teutonic
Adela,F,"Pleasant, Noble",German
Adelaide,F,Adorned,Latin
Adelaide,F,Noble kind,Hebrew
Adelaide,F,"Of the nobility, Noble",French
Adelaide,F,"Sweet, Noble",German
Adelais,M,Noble,Latin
Adelardo,M,Noble,Celtic
Adelasia,M,Noble,Latin
Adelbert,M,Famous for nobility,German
Adelberto,M,Famous for nobility,German
Adelchi,M,Noble hostage,German
Adele,M,Noble,Hebrew
Adele,F,Adorned,Latin
Adele,F,Good humor,French
Adele,F,Noble kind,Hebrew
Adele,F,Pleasant,German
Adelfio,M,Brother,Greek
Adelfrid,M,Who protects the descendants,German
Adelfried,M,Who protects the descendants,German
Adelgiese,F,Noble hostage,German
Adelheid,F,"Sweet, Noble",German
Adelheide,F,"Sweet, Noble",German
Adelhelm,M,Noble protector,German
Adelia,F,"Of the nobility, Noble",French
Adelina,F,"Noble, Kind",Spanish
Adelina,F,"Noble, Sweet",German
Adelina,F,"Of nobility, Noble",French
Adelinda,F,"Noble, Sweet",German
Adeline,F,Adorned,Latin
Adeline,F,Good humor,French
Adeline,F,Noble kind,Hebrew
Adeline,F,"Sweet, Noble",German
Adelino,M,Noble,German
Adelisa,F,"Of the nobility, Noble",French
Adelisa,F,"Of the nobility, Noble",German
Adelise,F,"Forerunner of Alice, Of the nobility, Noble",French
Adelita,F,Kind or winged; Of the nobility. Noble.,Spanish
Adelita,F,"Sweet, Noble",German
Adella,F,Of nobility,Teutonic
Adella,F,"Of the nobility, Noble",Spanish
Adelle,F,Adorned,Latin
Adelle,F,Noble kind,Hebrew
Adelle,F,"Noble, Sweet",German
Adelle,F,"Of the nobility, Noble",French
Adelmo,M,Noble protector,German
Adelphos,M,Brother,Greek
Adelynn,F,Good humor,French
Adelyte,F,Has good humor,German
Adem,M,Created by God,Hebrew
Ademaro,M,Glorious in battle,German
Ademia,F,Without husband,Greek
Adena,F,"Delicate, Sensual, Voluptous",Hebrew
Adene,F,Tender,Hebrew
Adenna,F,"Delicate, Sensual, Voluptous",Hebrew
Adeodato,M,Given by God,Latin
Adeodatus,M,Given by God,Latin
Adeola,F,Crown of honor,African
Aderes,F,Protector,Hebrew
Adesina,F,The way is opened for more,African
Adetoun,F,Princess,African
Adette,F,"Noble, Sweet",German
Adhiambo,F,Females born after sunset,African
Adhira,F,Lightning,Indian
Adi,M,Famous for nobility,German
Adia,F,Wealthy,English
Adiba,F,Polite,Arabic
Adie,M,Created by God,Hebrew
Adie,F,Created by God,Hebrew
Adila,F,Similar,Arabic
Adilene,F,Good humor,French
Adimaro,M,Glorious in battle,German
Adina,F,"Delicate, Sensual, Voluptous",Hebrew
Adina,F,She has saved,African
Adinah,F,"Delicate, Sensual, Voluptous",Hebrew
Adinam,F,Tender,Hebrew
Adine,F,Tender,Hebrew
Adinna,F,"Delicate, Sensual, Voluptous",Hebrew
Adiodato,M,Given by God,Latin
Adira,F,Strong,Arabic
Adiran,M,Of the adriatic,Latin
Adishree,F,Exalted,Indian
Adison,M,Adam's son,English
Adisree,F,Exalted,Indian
Aditi,F,Mother of gods,Indian
Aditya,M,Lord of the sun,Indian
Adiva,F,"Pleasant, Gentle",Arabic
Adjoa,F,"Females born on Monday, Peace",African
Adlai,M,"My witness, Refuge of God",Hebrew
Adler,M,Eagle,German
Adley,M,Just,Hebrew
Admina,F,Of the red earth,Hebrew
Admon,M,Red peony,Hebrew
Ado,M,Created by God,Hebrew
Ado,M,Happy,Teutonic
Adoette,F,Large tree,Native American
Adolf,M,"Noble wolf, Noble hero",German
Adolfa,F,"Noble wolf, Noble hero",German
Adolfina,F,"Noble wolf, Noble hero",German
Adolfo,M,"Noble wolf, Noble hero",German
Adolfus,M,"Noble wolf, Noble hero",German
Adolph,M,"Noble wolf, Noble hero",German
Adolpha,F,"Noble wolf, Noble hero",German
Adolphe,M,"Noble wolf, Noble hero",German
Adolpho,M,"Noble wolf, Noble hero",German
Adolphus,M,"Noble wolf, Noble hero",German
Adon,M,Lord,Hebrew
Adona,F,A lady,Hebrew
Adoncia,F,Sweet,Spanish
Adone,M,Lord,Hebrew
Adone,M,"Man loved by Aphrodite, Handsome",Greek
Adoni,M,The sunset,Australian Abori
Adonia,F,Beautiful,Greek
Adonia,F,Beautiful woman,Spanish
Adonis,M,"Man loved by Aphrodite, Handsome",Greek
Adonna,F,A lady,Hebrew
Adonne,F,A lady,Hebrew
Adora,F,Beloved one,French
Adoracion,F,Adoration,Spanish
Adorlee,F,Adored,French
Adowa,F,Noble,African
Adrasto,M,Undaunted,Greek
Adrastos,M,Undaunted,Greek
Adrea,F,Dark one,Latin
Adrea,F,"Rich, Wealthy",Greek
Adreanna,F,"From Adria the Adriatic sea region, Dark",French
Adreena,F,Dark one,Latin
Adreena,F,"Rich, Wealthy",Greek
Adri,F,Dark one,Latin
Adri,F,"Rich, Wealthy",Greek
Adria,F,Dark one,Latin
Adria,F,"Rich, Wealthy",Greek
Adrian,M,Appeared in The Tempest,Shakespearian
Adrian,M,Dark one,Latin
Adrian,M,"Rich, Wealthy",Greek
Adrian,F,Dark,German
Adriana,F,Appeared in Comedy of Errors,Shakespearian
Adriana,F,Dark,Spanish
Adriana,F,Dark one,Latin
Adriana,F,"Rich, Wealthy",Greek
Adriane,F,Dark,German
Adriane,F,"From Adria the Adriatic sea region, Dark",French
Adrianna,F,Dark one,Latin
Adrianna,F,"From Adria the Adriatic sea region, Dark",French
Adrianna,F,"Rich, Wealthy",Greek
Adrianne,F,Dark one,Latin
Adrianne,F,"From Adria the Adriatic sea region, Dark",French
Adrianne,F,"Rich, Wealthy",Greek
Adriano,M,Appeared in Love's Labour Lost,Shakespearian
Adriano,M,Dark one,Latin
Adriano,M,"Rich, Wealthy",Greek
Adrianus,M,Dark one,Latin
Adrianus,M,"Rich, Wealthy",Greek
Adrie,M,Dark one,Latin
Adrie,M,"Rich, Wealthy",Greek
Adriel,M,"Beaver, Symbol of skill",Native American
Adrien,M,Dark one,Latin
Adrien,M,"Rich, Wealthy",Greek
Adriene,F,"From Adria the Adriatic sea region, Dark",French
Adrienne,F,Dark one,Latin
Adrienne,F,"From Adria the Adriatic sea region, Dark",French
Adrienne,F,"Rich, Wealthy",Greek
Adsila,F,Blossom (Cherokee),Native American
Adwoa,F,"Females born on Monday, Peace",African
Ady,F,Adorned,Latin
Ady,F,"Noble kind, Lady",Hebrew
Aedre,F,Stream,Anglo-Saxon
Aefentid,F,Evening,Anglo-Saxon
Aefre,F,Forever,Anglo-Saxon
Aegeon,M,Appeared in Comedy of Errors,Shakespearian
Aeldra,F,Noble,English
Aelfraed,F,Elf counselor,English
Aelfwine,F,Friend of the elves,English
Aemilia,F,Appeared in Comedy of Errors,Shakespearian
Aemilius,M,Appeared in Titus Andronicus,Shakespearian
Aemilius Lepidus,M,"Appeared in Julius Caesar, Antony & Cleopatra",Shakespearian
Aeneas,M,Appeared in Troilus & Cressida,Shakespearian
Aeneas,M,Worthy of praise,Greek
Aerlene,F,Elfin,Anglo-Saxon
Aerwyna,F,Friend of the sea,English
Aeryn,F,Elfin,Anglo-Saxon
Aethelflaed,F,Sister of King Edward,Anglo-Saxon
Aethelreda,F,Noble maiden,English
Aethelthryth,F,Wife of King Ecgfrith,Anglo-Saxon
Aethelwine,F,Friend of the elves,English
Aethelwyne,F,Friend of the elves,English
Aetos,M,Eagle,Greek
Afafa,F,Firstborn child of a second husband,African
Affrica,F,"Pleasing, Pleasant",Celtic
Afia,F,Females born on Friday,African
Afiya,F,"Health, Good health",African
Afra,F,Doe,Hebrew
Afra,F,From Africa,Latin
Afra,F,Peaceful ruler,African
Afraate,F,From Africa,Latin
Afreda,F,Elf counselor,English
Afric,F,Agreeable,Celtic
Afric,F,Pleasant,Irish
Africa,F,Pleasant,Irish
Africa,F,"Pleasing, Pleasant, Agreeable",Celtic
Africana,F,From Africa,Latin
Africano,M,From Africa,Latin
Afro,M,From Africa,Latin
Afrodille,F,Daffodil,French
Afrodite,F,Goddess of Love,Greek
Afton,F,River name,English
Aftonio,F,River name,English
Afua,F,Born on Friday,African
Afya,F,"Health, Good health",African
Agace,F,"Good, Kind",Greek
Agacia,F,Kind,Spanish
Agamemnon,M,Appeared in Troilus & Cressida,Shakespearian
Agape,M,Love of the next,Greek
Agape,F,Love of the next,Greek
Agapio,M,Love of the next,Greek
Agapio,F,Love of the next,Greek
Agata,F,"Good, Kind",Greek
Agata,F,Kind,Irish
Agate,F,Kind,Irish
Agatha,F,Good,German
Agatha,F,"Good, Kind",Greek
Agathe,F,Good,German
Agathe,F,"Good, Kind",Greek
Agathe,F,Kind,French
Agatone,M,"Good, Kind",Greek
Agbenyaga,F,Life is precious,African
Agdta,F,Kind,Spanish
Age,F,Dark one,Latin
Age,F,"Rich, Wealthy",Greek
Agenta,F,"Lamb, Pure, Chaste",Latin
Agenta,F,Pure,Greek
Aggie,F,"Good, Kind",Greek
Aggie,F,"Lamb, Pure, Chaste",Latin
Aggy,F,"Good, Kind",Greek
Aggy,F,"Lamb, Pure, Chaste",Latin
Aghadreena,F,From the field of the sloe bushes,Irish
Aghamora,F,From the great field,Irish
Aghanashini,F,Destroyer of sins,Indian
Aghaveagh,F,From the field of the old tree,Irish
Aghavilla,F,From the field of the old tree,Irish
Aghna,F,"Pure, Innocent",Irish
Aglai,F,"Wisdom, Glory",Greek
Aglaia,F,"Wisdom, Glory",Greek
Aglaian,F,"Wisdom, Glory",Greek
Agnes,F,"Lamb, Pure, Chaste",Latin
Agnes,F,Pure,Greek
Agnes,F,Pure,Spanish
Agnesa,F,"Lamb, Pure, Chaste",Latin
Agnesa,F,Pure,Greek
Agnese,F,"Lamb, Pure, Chaste",Latin
Agnese,F,Pure,Greek
Agnese,F,"Pure, Innocent",Spanish
Agneta,F,Pure,German
Agostino,M,Exalted,Latin
Agrippa,M,Appeared in Antony & Cleopatra,Shakespearian
Agueda,F,Kind,Spanish
Agustin,M,Exalted,Latin
Ahab,M,Uncle,Hebrew
Ahana,F,From the little stronghold,Irish
Ahava,F,Dearly loved,Hebrew
Ahave,F,Dearly loved,Hebrew
Ahearn,M,Lord of the horses,Celtic
Ahelia,F,Breath,Hebrew
Ahelie,F,Breath,Hebrew
Ahimsa,F,Dark one,Latin
Ahimsa,F,Nonviolent virtue,Indian
Ahimsa,F,"Rich, Wealthy",Greek
Ahladita,F,In happy mood,Indian
Ahmad,M,Praised one,Arabic
Ahmet,M,Praised one,Arabic
Ahmik,M,Strength of Gods flock,Hebrew
Ahren,M,Eagle,German
Ahren,M,"Revered, Sharer",Hebrew
Ahron,M,"Revered, Sharer",Hebrew
Ahron,M,"Shining light, High mountain, Messenger",Arabic
Ahuda,F,Dearly loved,Hebrew
Ahuva,F,Dearly loved,Hebrew
Ai,F,Love,Chinese
Ai,F,Love,Japanese
Aida,F,Help,French
Aida,F,Help,Spanish
Aida,F,Joyful,Arabic
Aida,F,"Wealthy, Helper",English
Aidan,M,Help,English
Aidan,M,Little fire,Gaelic
Aidan,F,Little fire,Irish
Aideen,F,Little fire,Irish
Aidia,F,Help,Spanish
Aiesha,F,Woman,Arabic
Aife,F,A great warrior woman of myth,Celtic
Aifric,F,Pleasant,Irish
Aiglentina,F,Sweetbrier rose,French
Aiglentine,F,Sweetbrier rose,French
Aigneis,F,Pure,Celtic
Aigneis,F,Pure,Irish
Aiken,M,"Sturdy, Oaken",Anglo-Saxon
Aiko,F,"Beloved one, Little love",Japanese
Aila,F,From the strong fortress,Scottish
Ailat,F,Behind,Hebrew
Aileana,F,From the green meadow,Scottish
Aileen,F,Giver of life,Irish
Aileen,F,Giver of life,Scottish
Aileen,F,Green meadow,Celtic
Aileen,F,Light,Greek
Aileene,F,Giver of life,Irish
Aileene,F,Giver of life,Scottish
Ailen,M,Made of oak,English
Ailey,F,Light,Irish
Aili,F,Light,Irish
Aili,F,Sweet,German
Ailia,F,Light,Irish
Ailidh,F,Kind,Celtic
Ailis,F,Noble,Celtic
Ailis,F,"Noble, Honest",Irish
Ailis,F,Sweet,German
Ailisa,F,Noble,Irish
Ailise,F,Noble,Irish
Ailison,F,Honest,Irish
Ailsa,F,Devoted to God,Hebrew
Ailse,F,Sweet,German
Ailsie,F,Devoted to God,Hebrew
Aimee,F,Beloved,French
Aimee,F,"Beloved, Liked",Latin
Aimelin,F,"Beloved, Liked",Latin
Aimelyn,F,"Beloved, Liked",Latin
Aimery,M,Industrious ruler,Teutonic
Aimory,M,Industrious ruler,Teutonic
Aims,F,"Beloved, Liked",Latin
Ain,F,"Precious, Eye",Arabic
Aina,F,Difficult birth,African
Aina,F,Joy,Celtic
Aine,F,Ardent,Irish
Aine,F,Joy,Celtic
Aineislis,M,Glory,Polish
Aingeal,F,Angel,Celtic
Aingeal,F,Angel,Irish
Ainhoa,F,Reference to the Virgin Mary,Spanish
Ainslee,F,My meadow,Scottish
Ainsley,F,My meadow,Scottish
Ainsly,F,My meadow,Scottish
Ainsworth,F,My meadow,Scottish
Aintzane,F,Glorious,Spanish
Airic,F,Agreeable,Celtic
Airleas,F,Oath,Irish
Airlia,F,Ethereal,Greek
Aisha,F,"Lively, Woman",Arabic
Aisha,F,"Woman, Life, Alive",African
Aishah,F,"Woman, Life",Arabic
Aisley,F,Dwells at the ash tree meadow,Anglo-Saxon
Aisley,F,From the ash tree grove,English
Aislin,F,Vision,Irish
Aisling,F,"Dream, Vision, Inspiration",Celtic
Aisling,F,Vision,Irish
Aislinn,F,"Dream, Vision, Inspiration",Celtic
Aislinn,F,Vision,Irish
Aisly,F,Dwells at the ash tree meadow,Anglo-Saxon
Aissa,F,Grateful,African
Aitan,M,Fights of possession,African
Aitan,M,Fights of possession,Hebrew
Aithne,F,Fire,Celtic
Aiya,F,Bird,Hebrew
Aiyana,F,Eternal blossom,Native American
Aja,F,High Priestess of Mecca.,African
Ajala,F,The earth,Indian
Ajana,F,Eternal bllom,Native American
Ajatashatru,M,"A name of Vishnu, Without enemies",Indian
Ajax,M,Appeared in Troilus & Cressida,Shakespearian
Ajay,M,"Unconquerable, Invincible",Indian
Ajayi,M,Born face-down,African
Ajeet,M,Unconquerable,Indian
Ajit,M,Unconquerable,Indian
Ajitabh,M,One who has conquered the sky,Indian
Akaash,M,Sky,Indian
Akaisha,F,The akaisha flower,Irish
Akako,F,Red,Japanese
Akala,F,A parrot,Australian Abori
Akalla,F,A parrot,Australian Abori
Akama,M,A whale,Australian Abori
Akando,M,Ambush,Native American
Akanke,F,To know her is to love her,African
Akash,M,Sky,Indian
Akasma,F,White rose,Arabic
Akela,F,Noble,Hawaiian
Akello,M,I have bought,African
Akhila,F,"Complete, Whole",Indian
Akhilesh,M,"Indestructible, Immortal, Lord of the universe",Indian
Akibe,F,Protected,Hebrew
Akiha,F,Protected,Hebrew
Akil,M,"Intelligent, Logical",Arabic
Akilah,F,Intelligent one who reasons,African
Akilah,F,Wise,Arabic
Akili,F,Wisdom,African
Akilina,F,Eagle,Latin
Akilles,M,Hero of the Iliad,Greek
Akilleys,M,Hero of the Iliad,Greek
Akim,F,"Nigeria folktale - Akim was a gorgeous, fat, young woman made of oil who melted in the sun while doing farm labor.",African
Akina,F,Spring flower,Japanese
Akira,M,Anchor,Japanese
Akira,M,Anchor,Scottish
Akira,F,Anchor,Scottish
Akiva,F,Protected,Hebrew
Akosua,F,Females born on Sunday,African
Akpena,F,Thanks to God,African
Akpenamawu,F,Thanks to God,African
Akriti,F,Diagram,Indian
Akshat,M,Uninjurable,Indian
Akshay,M,Name of a God,Indian
Akua,F,Females born on Wednesday,African
Akuti,F,Princess,Indian
Al,F,"Noble, Truth",German
Al,F,"Noble, Truth",Greek
Alain,M,"Cheerful, Noble",Celtic
Alain,M,Handsome,Gaelic
Alaina,F,Dear child,Irish
Alaina,F,"Fair, Beautiful",Gaelic
Alaina,F,Offering,Hawaiian
Alaine,F,Beautiful,Irish
Alaine,F,Dear child,French
Alair,F,Cheerful,French
Alake,F,One petted,African
Alaknanda,F,Flawless,Indian
Alala,F,War Goddess,Greek
Alameda,F,Grove of cottonwood,Native American
Alameda,F,Promenade,Spanish
Alan,M,"Cheerful, Noble",Celtic
Alan,M,Handsome,Gaelic
Alana,F,"Beautiful, Dear child",Irish
Alana,F,"Fair, Beautiful",English
Alana,F,"Fair, Beautiful",Gaelic
Alana,F,Light,French
Alana,F,Offering,Hawaiian
Aland,M,Bright as the sun,English
Alandra,F,Protector of mankind,Spanish
Alane,F,Fair,Celtic
