ID,Color,RGB,Source
287,LightSalmon,FFA07A,X11
288,Orange,FFA500,X11
289,DarkOrange,FF8C00,X11
290,Coral,FF7F50,X11
291,LightCoral,F08080,X11
292,Tomato,FF6347,X11
293,OrangeRed,FF4500,X11
294,Red,FF0000,X11
295,HotPink,FF69B4,X11
296,DeepPink,FF1493,X11
297,Pink,FFC0CB,X11
298,LightPink,FFB6C1,X11
299,PaleVioletRed,DB7093,X11
300,Maroon,B03060,X11
301,MediumVioletRed,C71585,X11
302,VioletRed,D02090,X11
303,Magenta,FF00FF,X11
304,Violet,EE82EE,X11
305,Plum,DDA0DD,X11
306,Orchid,DA70D6,X11
307,MediumOrchid,BA55D3,X11
308,DarkOrchid,9932CC,X11
309,DarkViolet,9400D3,X11
310,BlueViolet,8A2BE2,X11
311,Purple,A020F0,X11
312,MediumPurple,9370DB,X11
313,Thistle,D8BFD8,X11
314,Snow1,FFFAFA,X11
315,Snow2,EEE9E9,X11
316,Snow3,CDC9C9,X11
317,Snow4,8B8989,X11
318,Seashell1,FFF5EE,X11
319,Seashell2,EEE5DE,X11
320,Seashell3,CDC5BF,X11
321,Seashell4,8B8682,X11
322,AntiqueWhite1,FFEFDB,X11
323,AntiqueWhite2,EEDFCC,X11
324,AntiqueWhite3,CDC0B0,X11
325,AntiqueWhite4,8B8378,X11
326,Bisque1,FFE4C4,X11
327,Bisque2,EED5B7,X11
328,Bisque3,CDB79E,X11
329,Bisque4,8B7D6B,X11
330,PeachPuff1,FFDAB9,X11
331,PeachPuff2,EECBAD,X11
332,PeachPuff3,CDAF95,X11
333,PeachPuff4,8B7765,X11
334,NavajoWhite1,FFDEAD,X11
335,NavajoWhite2,EECFA1,X11
336,NavajoWhite3,CDB38B,X11
337,NavajoWhite4,8B795E,X11
338,LemonChiffon1,FFFACD,X11
339,LemonChiffon2,EEE9BF,X11
340,LemonChiffon3,CDC9A5,X11
341,LemonChiffon4,8B8970,X11
342,Cornsilk1,FFF8DC,X11
343,Cornsilk2,EEE8CD,X11
344,Cornsilk3,CDC8B1,X11
345,Cornsilk4,8B8878,X11
346,Ivory1,FFFFF0,X11
347,Ivory2,EEEEE0,X11
348,Ivory3,CDCDC1,X11
349,Ivory4,8B8B83,X11
350,Honeydew1,F0FFF0,X11
351,Honeydew2,E0EEE0,X11
352,Honeydew3,C1CDC1,X11
353,Honeydew4,838B83,X11
354,LavenderBlush1,FFF0F5,X11
355,LavenderBlush2,EEE0E5,X11
356,LavenderBlush3,CDC1C5,X11
