RGB,Color,Note,w3c
B2FFFF,Celeste (colour),Celeste (colour),
4997D0,Celestial blue,Azure (color)#Celestial blue,
DE3163,Cerise,Cerise (color),
EC3B83,Cerise pink,Cerise (color)#Cerise pink,
007BA7,Cerulean,Cerulean,
2A52BE,Cerulean blue,Cerulean blue,
007AA5,CG Blue,CG Blue,
E03C31,CG Red,CG Red,
A0785A,Chamoisee,Chamoisee,
FAD6A5,Champagne,Champagne (color),
36454F,Charcoal,Charcoal (color),
DFFF00,Chartreuse (traditional),Chartreuse (color),
7FFF00,Chartreuse (web),Chartreuse (color),
DE3163,Cherry,Cherry,
FFB7C5,Cherry blossom pink,Variations of pink#Cherry blossom pink,
CD5C5C,Chestnut,Chestnut (color),
7B3F00,Chocolate (traditional),Chocolate (color),
D2691E,Chocolate (web),Chocolate (color)#Variations of chocolate,
FFA700,Chrome yellow,Chrome yellow,
98817B,Cinereous,Cinereous,
E34234,Cinnabar,Cinnabar,
D2691E,Cinnamon,Cinnamon,
E4D00A,Citrine,Citrine (colour),
FBCCE7,Classic rose,Rose (color)#Classic Rose,
0047AB,Cobalt,Cobalt blue,
D2691E,Cocoa brown,Chocolate (color)#Variations of chocolate,
6F4E37,Coffee,Coffee (color),
9BDDFF,Columbia blue,Columbia blue,
002E63,Cool black,Rich black,
8C92AC,Cool grey,Cool grey,
B87333,Copper,Copper (color),
996666,Copper rose,Rose (color)#Copper Rose,
FF3800,Coquelicot,Coquelicot,
FF7F50,Coral,Coral (color),
F88379,Coral pink,Coral (color)#Coral pink,
FF4040,Coral red,Coral (color)#Coral red,
893F45,Cordovan,Cordovan (color),
FBEC5D,Corn,Corn (color),
B31B1B,Cornell Red,Variations of red#Cornell Red,
6495ED,Cornflower blue,Cornflower blue,
FFF8DC,Cornsilk,Shades of white#Cornsilk,
FFF8E7,Cosmic latte,Cosmic latte,
FFBCD9,Cotton candy,Cotton candy,
FFFDD0,Cream,Cream (colour),
DC143C,Crimson,Crimson,
BE0032,Crimson glory,Crimson#Crimson glory,
00FFFF,Cyan,Cyan,Cyan
00B7EB,Cyan (process),Cyan,
FFFF31,Daffodil,Daffodil,
F0E130,Dandelion,Dandelion,
00008B,Dark blue,Blue#Dark blue,
654321,Dark brown,Brown#Dark brown,
5D3954,Dark byzantium,Byzantium (color)#Dark byzantium,
A40000,Dark candy apple red,Candy apple red (color)#Dark candy apple red,
08457E,Dark cerulean,Cerulean#Dark cerulean,
986960,Dark chestnut,Chestnut (color)#Dark chestnut,
CD5B45,Dark coral,Coral (color)#Dark coral,
008B8B,Dark cyan,Cyan#Dark cyan,
536878,Dark electric blue,Electric blue (color)#Dark electric blue,
B8860B,Dark goldenrod,Goldenrod (color)#Dark goldenrod,
A9A9A9,Dark gray,Grey#Web colors,
013220,Dark green,Dark green,
1A2421,Dark jungle green,Jungle green#Dark jungle green,
BDB76B,Dark khaki,Khaki (color)#Dark khaki,
483C32,Dark lava,Lava (color)#Dark lava,
734F96,Dark lavender,Lavender (color)#Dark lavender,
8B008B,Dark magenta,Variations of magenta#Dark magenta,
003366,Dark midnight blue,Midnight blue#Dark midnight blue,
556B2F,Dark olive green,Chartreuse (color)#Dark olive green,
FF8C00,Dark orange,Variations of orange#Dark orange (web color),
9932CC,Dark orchid,X11 color names#Color names,
779ECB,Dark pastel blue,Blue#Dark pastel blue,
03C03C,Dark pastel green,Dark pastel green,
966FD6,Dark pastel purple,Purple#Dark pastel purple,
C23B22,Dark pastel red,Variations of red#Dark pastel red,
E75480,Dark pink,Pink#Dark pink,
003399,Dark powder blue,Powder blue#Dark powder blue (smalt),
872657,Dark raspberry,Raspberry (color)#Dark raspberry,
8B0000,Dark red,Maroon (color)#Dark red,
E9967A,Dark salmon,Salmon (color)#Dark salmon,
560319,Dark scarlet,Scarlet (color)#Dark scarlet,
8FBC8F,Dark sea green,X11 color names#Color names,
3C1414,Dark sienna,Sienna,
483D8B,Dark slate blue,X11 color names#Color names,
2F4F4F,Dark slate gray,Slate gray#Dark slate gray,
177245,Dark spring green,Spring green (color)#Dark spring green,
918151,Dark tan,Tan (color)#Dark tan,
FFA812,Dark tangerine,Variations of orange#Dark tangerine,
483C32,Dark taupe,Taupe#Dark taupe,
CC4E5C,Dark terra cotta,Terracotta#Color,
00CED1,Dark turquoise,Turquoise (color)#Dark Turquoise,
9400D3,Dark violet,Violet (color)#Pigment violet (web color dark violet),
00693E,Dartmouth green,Variations of green#Dartmouth green,
555555,Davy's grey,Davy's grey,
D70A53,Debian red,Debian,
A9203E,Deep carmine,Carmine (color)#Deep Carmine,
EF3038,Deep carmine pink,Carmine (color)#Deep Carmine Pink,
E9692C,Deep carrot orange,Variations of orange#Deep carrot orange,
DA3287,Deep cerise,Cerise (color)#Deep cerise,
FAD6A5,Deep champagne,Champagne (color)#Deep champagne,
B94E48,Deep chestnut,Chestnut (color)#Deep chestnut,
704241,Deep coffee,Coffee (color)#Deep coffee,
C154C1,Deep fuchsia,Fuchsia (color)#Deep fuchsia,
004B49,Deep jungle green,Jungle green#Deep jungle green,
9955BB,Deep lilac,Lilac (color)#Deep lilac,
CC00CC,Deep magenta,Magenta#Deep magenta,
FFCBA4,Deep peach,Peach (color)#Deep peach,
FF1493,Deep pink,Variations of pink#Deep pink,
FF9933,Deep saffron,Saffron (color)#Deep saffron,
00BFFF,Deep sky blue,Deep sky blue,
1560BD,Denim,List of Crayola crayon colors#Standard Colors,
C19A6B,Desert,Desert sand (color)#Desert,
EDC9AF,Desert sand,Desert sand (color),
696969,Dim gray,Grey#Web colors,
1E90FF,Dodger blue,Dodger blue,
D71868,Dogwood rose,Rose (color)#Dogwood Rose,
85BB65,Dollar bill,List of Crayola colored pencil colors#Standard colors,
967117,Drab,Desert sand (color)#Sand dune (Drab),
00009C,Duke blue,Duke blue,
E1A95F,Earth yellow,Desert sand (color)#Earth yellow,
C2B280,Ecru,Ecru,
614051,Eggplant,Eggplant (color),
F0EAD6,Eggshell,Eggshell (color),
1034A6,Egyptian blue,Egyptian blue,
7DF9FF,Electric blue,Electric blue (color),
FF003F,Electric crimson,Crimson#Electric crimson,
00FFFF,Electric cyan,Cyan#Electric cyan vs. process cyan,
00FF00,Electric green,Electric green#Green (X11 color),
6F00FF,Electric indigo,Indigo#Electric indigo,
F4BBFF,Electric lavender,Lavender (color)#Brilliant lavender (electric lavender),
CCFF00,Electric lime,Lime (color)#Electric lime,
BF00FF,Electric purple,Purple#Electric purple: 2000s,
3F00FF,Electric ultramarine,Ultramarine#Electric ultramarine,
8F00FF,Electric violet,Violet (color)#Electric violet,
FFFF00,Electric yellow,Yellow,
50C878,Emerald,Variations of green#Emerald,
96C8A2,Eton blue,Eton blue#Eton blue,
C19A6B,Fallow,Fallow (color),
801818,Falu red,Falu red,
FF00FF,Famous,Fuchsia (color)#Famous,
B53389,Fandango,Fuchsia (color)#Fandango,
F400A1,Fashion fuchsia,Fuchsia (color)#Fashion fuchsia,
E5AA70,Fawn,Fawn (colour),
4D5D53,Feldgrau,Variations of green#Feldgrau,
4F7942,Fern green,Variations of green#Fern green,
FF2800,Ferrari Red,Ferrari,
6C541E,Field drab,Desert sand (color)#Field drab,
B22222,Firebrick,X11 color names#Color names,
CE2029,Fire engine red,Fire engine red,
E25822,Flame,Flame (color),
FC8EAC,Flamingo pink,Flamingo,
F7E98E,Flavescent,Buff (colour)#Flavescent,
EEDC82,Flax,Flax (color),
FFFAF0,Floral white,X11 color names#Color names,
FFBF00,Fluorescent orange,List of Crayola colored pencil colors#Twistables,
FF1493,Fluorescent pink,List of Crayola colored pencil colors#Twistables,
CCFF00,Fluorescent yellow,List of Crayola colored pencil colors#Twistables,
FF004F,Folly,Crimson#Folly,
014421,Forest green (traditional),Variations of green#UP Forest green,
228B22,Forest green (web),Variations of green#Forest green,
A67B5B,French beige,Beige#French beige,
0072BB,French blue,Azure (color)#French blue,
86608E,French lilac,Lilac (color)#French lilac,
F64A8A,French rose,Rose (color)#French Rose,
FF00FF,Fuchsia,Fuchsia (color),Fuchsia
FF77FF,Fuchsia pink,Fuchsia (color)#Fuchsia pink (light magenta),
E48400,Fulvous,Fulvous,
CC6666,Fuzzy Wuzzy,List of Crayola crayon colors#Standard Colors,
C19A6B,Fallow,Fallow (color),
DCDCDC,Gainsboro,X11 color names#Color names identical between X11 and HTML/CSS,
E49B0F,Gamboge,Gamboge,
F8F8FF,Ghost white,Ghost white,
B06500,Ginger,Ginger,
6082B6,Glaucous,Glaucous,
E6E8FA,Glitter,Glitter,
D4AF37,Gold (metallic),Gold (color)#Gold (metallic gold),
FFD700,Gold (web) (Golden),Gold (color),
996515,Golden brown,Gold (color)#Golden brown,
FCC200,Golden poppy,Gold (color)#Golden poppy,
FFDF00,Golden yellow,Gold (color)#Golden yellow,
DAA520,Goldenrod,Goldenrod (color),
A8E4A0,Granny Smith Apple,List of Crayola crayon colors,
808080,Gray,Grey,
7F7F7F,Gray (HTML/CSS gray),X11 color names#Color names,
BEBEBE,Gray (X11 gray),X11 color names#Color names,
465945,Gray-asparagus,Variations of green#Gray-asparagus,
00FF00,Green (color wheel) (X11 green),Variations of green#Green (RGB) (X11 green) (HTML/CSS lime) (color wheel green) (electric green),
1CAC78,Green (Crayola),List of Crayola crayon colors#Standard Colors,
008000,Green (HTML/CSS green),Variations of Green#Green (HTML/CSS),
00A877,Green (Munsell),Variations of green#Green (Munsell),
009F6B,Green (NCS),Variations of green#Green (NCS),
00A550,Green (pigment),Variations of green#Green (CMYK) (pigment green),
66B032,Green (RYB),RYB color model,
ADFF2F,Green-yellow,Variations of green#Green-yellow,
A99A86,Grullo,Grullo,
00FF7F,Guppie green,List of Crayola colored pencil colors,
663854,HalayÃ  Ãºbe,Lavender (color)#HalayÃ  Ãºbe,
446CCF,Han blue,Han blue,
5218FA,Han purple,Han purple,
E9D66B,Hansa yellow,Hansa yellow,
3FFF00,Harlequin,Variations of green#Harlequin,
C90016,Harvard crimson,Crimson#Harvard crimson,
DA9100,Harvest Gold,List of Crayola colored pencil colors#Standard colors,
808000,Heart Gold,Gold,
DF73FF,Heliotrope,Heliotrope (color),
F400A1,Hollywood cerise,Cerise (color)#Hollywood cerise,
F0FFF0,Honeydew,Spring green (color)#Honeydew,
0095B6,Honolulu Blue,Variations of blue#Honolulu Blue,
49796B,Hooker's green,Hooker's green,
FF1DCE,Hot magenta,Variations of magenta#Hot magenta,
FF69B4,Hot pink,Variations of pink#Hot pink,
355E3B,Hunter green,Variations of green#Hunter green,
71A6D2,Iceberg,Blue#Iceberg,
FCF75E,Icterine,Icterine,
B2EC5D,Inchworm,List of Crayola crayon colors#Standard Colors,
138808,India green,Variations of green#India green,
CD5C5C,Indian red,X11 color names#Color names identical between X11 and HTML/CSS,
E3A857,Indian yellow,Indian yellow,
4B0082,Indigo,Indigo,
00416A,Indigo (dye),Indigo#Indigo dye,
4B0082,Indigo (web),Indigo#Pigment indigo (web color indigo),
002FA7,International Klein Blue,International Klein Blue,
FF4F00,International orange,International orange,
5A4FCF,Iris,Iris (color),
F4F0EC,Isabelline,Isabelline (colour),
009000,Islamic green,Variations of green#Islamic green,
FFFFF0,Ivory,Ivory (color),
00A86B,Jade,Variations of green#Jade,
F8DE7E,Jasmine,Jasmine (color),
D73B3E,Jasper,Jasper,
A50B5E,Jazzberry jam,Red-violet#Jazzberry jam,
FADA5E,Jonquil,Jonquil,
BDDA57,June bud,Spring bud#June bud,
29AB87,Jungle green,Jungle green,
4CBB17,Kelly green,Variations of green#Kelly green,
C3B091,Khaki (HTML/CSS) (Khaki),Khaki (color)#Khaki,
F0E68C,Khaki (X11) (Light khaki),Khaki (color)#Light khaki,
E8000D,KU Crimson,Crimson#KU Crimson,
087830,La Salle Green,De La Salle University,
D6CADD,Languid lavender,Lavender (color)#Languid lavender,
26619C,Lapis lazuli,Azure (color)#Lapis lazuli,
FEFE22,Laser Lemon,Lemon (color),
A9BA9D,Laurel green,Variations of green#Laurel green,
CF1020,Lava,Lava (color),
B57EDC,Lavender (floral),Lavender (color)#Lavender (floral),
E6E6FA,Lavender (web),Lavender (color),
CCCCFF,Lavender blue,Lavender (color)#Lavender blue (periwinkle),
FFF0F5,Lavender blush,Lavender (color)#Lavender blush,
C4C3D0,Lavender gray,Lavender (color)#Lavender gray,
9457EB,Lavender indigo,Lavender (color)#Lavender indigo,
EE82EE,Lavender magenta,"Lavender (color)#Lavender magenta (web color ""light violet"")",
E6E6FA,Lavender mist,Lavender (color)#Lavender mist,
FBAED2,Lavender pink,Lavender (color)#Lavender pink,
967BB6,Lavender purple,Lavender (color)#Lavender purple (purple mountain majesty),
FBA0E3,Lavender rose,Lavender (color)#Lavender rose,
7CFC00,Lawn green,Chartreuse (color)#Lawn green,
FFF700,Lemon,Lemon (color),
FFFACD,Lemon chiffon,Lemon chiffon,
BFFF00,Lemon lime,Lemon lime,
FDD5B1,Light apricot,Apricot (color)#Light apricot,
ADD8E6,Light blue,Blue#Light blue,
B5651D,Light brown,Light brown,
E66771,Light carmine pink,Carmine (color)#Light Carmine Pink,
F08080,Light coral,Coral (color)#Light coral,
93CCEA,Light cornflower blue,Cornflower blue#Light cornflower blue,
F56991,Light Crimson,Crimson#Light Crimson,
E0FFFF,Light cyan,Cyan#Light cyan,
F984EF,Light fuchsia pink,Fuchsia (color)#Light fuchsia pink (pale magenta),
FAFAD2,Light goldenrod yellow,Goldenrod (color)#Light goldenrod yellow,
D3D3D3,Light gray,Grey#Web colors,
90EE90,Light green,X11 color names#Color names,
F0E68C,Light khaki,Khaki (color)#Light khaki,
B19CD9,Light pastel purple,Purple#Light pastel purple,
FFB6C1,Light pink,Pink#Light pink,
FFA07A,Light salmon,Salmon (color)#Light salmon,
FF9999,Light salmon pink,Salmon pink#Light salmon pink,
20B2AA,Light sea green,Cyan#Light sea green,
87CEFA,Light sky blue,Azure (color)#Light sky blue,
778899,Light slate gray,Slate gray#Light slate gray,
B38B6D,Light taupe,Taupe#Light taupe,
E68FAC,Light Thulian pink,Rose (color)#Light Thulian Pink,
FFFFED,Light yellow,Variations of yellow#Light yellow,
C8A2C8,Lilac,Lilac (color),
BFFF00,Lime (color wheel),Lime (color),
00FF00,Lime (web) (X11 green),"Lime (color)#Web color ""lime"" (X11 Green)",Lime
32CD32,Lime green,Lime (color)#Lime green,
195905,Lincoln green,Lincoln green,
FAF0E6,Linen,Linen (color),
C19A6B,Lion,Lion (color),
534B4F,Liver,Liver (color),
E62020,Lust,Variations of red#Lust,
FF00FF,Magenta,Magenta,Fuchsia
CA1F7B,Magenta (dye),Magenta#Historical development of magenta,
FF0090,Magenta (process),Magenta#Historical development of magenta,
AAF0D1,Magic mint,Spring green (color)#Magic mint,
F8F4FF,Magnolia,Magnolia (color),
C04000,Mahogany,Mahogany (color),
FBEC5D,Maize,Maize (color),
6050DC,Majorelle Blue,Majorelle Blue,
0BDA51,Malachite,Malachite,
979AAA,Manatee,List of Crayola crayon colors#Standard Colors,
FF8243,Mango Tango,List of Crayola crayon colors#Standard Colors,
74C365,Mantis,Variations of green#Mantis,
800000,Maroon (HTML/CSS),Maroon (color),
B03060,Maroon (X11),Maroon (color),
E0B0FF,Mauve,Mauve,
915F6D,Mauve taupe,Taupe#Mauve taupe,
EF98AA,Mauvelous,List of Crayola crayon colors#Standard Colors,
73C2FB,Maya blue,Maya Blue,
E5B73B,Meat brown,List of Crayola colored pencil colors#Standard colors,
66DDAA,Medium aquamarine,Aquamarine (color)#Medium aquamarine,
0000CD,Medium blue,Dark blue (color)#Medium blue,
E2062C,Medium candy apple red,Candy apple red (color)#Medium candy apple red,
AF4035,Medium carmine,Carmine (color)#Medium Carmine,
F3E5AB,Medium champagne,Champagne (color)#Medium champagne,
035096,Medium electric blue,Electric blue (color)#Medium electric blue,
1C352D,Medium jungle green,Jungle green#Medium jungle green,
DDA0DD,Medium lavender magenta,Lavender (color)#Medium lavender magenta (web color plum),
BA55D3,Medium orchid,X11 color names#Color names,
0067A5,Medium Persian blue,Persian blue#Medium Persian blue,
9370DB,Medium purple,Purple,
BB3385,Medium red-violet,Red-violet#Medium red-violet,
3CB371,Medium sea green,Spring green (color)#Medium sea green,
7B68EE,Medium slate blue,X11 color names#Color names,
C9DC87,Medium spring bud,Spring bud#Medium spring bud,
00FA9A,Medium spring green,Spring green (color)#Medium spring green,
674C47,Medium taupe,Taupe#Medium taupe,
0054B4,Medium teal blue,Teal (color)#Medium teal blue,
48D1CC,Medium turquoise,Turquoise (color)#Medium Turquoise,
C71585,Medium violet-red,Red-violet,
FDBCB4,Melon,List of Crayola crayon colors#Standard Colors,
191970,Midnight blue,Midnight blue,
004953,Midnight green (eagle green),Variations of green#Midnight green,
FFC40C,Mikado yellow,Mikado yellow,
3EB489,Mint,Spring green (color)#Mint,
F5FFFA,Mint cream,Spring green (color)#Mint cream,
98FF98,Mint green,Spring green (color)#Mint green,
FFE4E1,Misty rose,Rose (color)#Misty Rose,
FAEBD7,Moccasin,Moccasin,
967117,Mode beige,Beige#Mode beige,
73A9C2,Moonstone blue,Moonstone (gemstone),
AE0C00,Mordant red 19,Mordant red 19,
ADDFAD,Moss green,Variations of green#Moss green,
30BA8F,Mountain Meadow,List of Crayola crayon colors#Standard Colors,
997A8D,Mountbatten pink,Mountbatten pink,
C54B8C,Mulberry,Purple#Mulberry,
F2F3F4,Munsell,Munsell color system,
FFDB58,Mustard,Mustard (color),
21421E,Myrtle,Variations of green#Myrtle,
18453B,MSU Green,Variations of green#MSU Green,
F6ADC6,Nadeshiko pink,Carnation pink#Nadeshiko pink,
2A8000,Napier green,British racing green,
FADA5E,Naples yellow,Naples yellow,
FFDEAD,Navajo white,Navajo white,
000080,Navy blue,Navy blue,
FFA343,Neon Carrot,List of Crayola crayon colors#Standard Colors,
FE59C2,Neon fuchsia,Fuchsia (color)#Neon fuchsia,
39FF14,Neon green,Variations of green#Neon green,
A4DDED,Non-photo blue,Non-photo blue,
059033,Texas Green,,
0077BE,Ocean Boat Blue,Azure (color)#Ocean boat blue,
CC7722,Ochre,Ochre,
008000,Office green,Variations of green#Office green,
CFB53B,Old gold,Old gold,
FDF5E6,Old lace,Old lace (color),
796878,Old lavender,Lavender (color)#Old lavender,
673147,Old mauve,Mauve#Old mauve,
C08081,Old rose,Rose (color)#Old Rose,
808000,Olive,Chartreuse (color)#Olive,
6B8E23,Olive Drab (web) (Olive Drab #3),Chartreuse (color)#Olive drab,
3C341F,Olive Drab #7,Chartreuse (color)#Olive drab,
9AB973,Olivine,Olivine,
0F0F0F,Onyx,Onyx,
B784A7,Opera mauve,Mauve#Opera mauve,
FF7F00,Orange (Color Wheel),Variations of orange#Orange (color wheel),
FB9902,Orange (RYB),RYB color model,
FFA500,Orange (web color),Variations of orange#Orange (web color),
FF9F00,Orange peel,Variations of orange#Orange peel,
FF4500,Orange-red,Vermilion#Orange-red,
DA70D6,Orchid,Orchid (colour),
654321,Otter brown,Brown#Otter brown,
414A4C,Outer Space,List of Crayola crayon colors#Standard Colors,
FF6E4A,Outrageous Orange,List of Crayola crayon colors#Standard Colors,
002147,Oxford Blue,Oxford University,
990000,OU Crimson Red,Variations of red#OU Crimson,
006600,Pakistan green,Variations of green#Pakistan green,
273BE2,Palatinate blue,Palatinate (colour)#Palatinate Blue,
682860,Palatinate purple,Palatinate (colour)#Palatinate Purple,
BCD4E6,Pale aqua,Aqua_(color)#Pale_aqua,
AFEEEE,Pale blue,Pale blue,
987654,Pale brown,Brown#Pale brown,
AF4035,Pale carmine,Pale carmine,
9BC4E2,Pale cerulean,Cerulean#Pale cerulean,
DDADAF,Pale chestnut,Pale chestnut,
DA8A67,Pale copper,Copper (color)#Pale copper,
ABCDEF,Pale cornflower blue,Pale cornflower blue,
E6BE8A,Pale gold,Gold (color)#Pale gold,
EEE8AA,Pale goldenrod,Goldenrod (color)#Pale goldenrod,
98FB98,Pale green,Variations of green#Pale green,
DCD0FF,Pale lavender,Lavender (color)#Pale Lavender,
F984E5,Pale magenta,Variations of magenta#Pale magenta (light fuchsia pink),
FADADD,Pale pink,Variations of pink#Pale pink,
DDA0DD,Pale plum,"Plum (color)#Pale plum (web color ""plum"")",
DB7093,Pale red-violet,Red-violet#Pale red-violet (web color pale violet red),
96DED1,Pale robin egg blue,Robin egg blue#Pale robin egg blue,
C9C0BB,Pale silver,Silver (color)#Pale silver,
ECEBBD,Pale spring bud,Spring bud#Pale spring bud,
BC987E,Pale taupe,Taupe#Pale taupe (mouse),
DB7093,Pale violet-red,Red-violet,
78184A,Pansy purple,Purple#Pansy purple,
FFEFD5,Papaya whip,Variations of orange#Papaya whip,
50C878,Paris Green,Paris Green,
AEC6CF,Pastel blue,Blue#Pastel blue,
836953,Pastel brown,Brown#Pastel brown,
CFCFC4,Pastel gray,Grey#Pastel gray,
77DD77,Pastel green,Pastel green,
F49AC2,Pastel magenta,Magenta#Pastel magenta,
FFB347,Pastel orange,Orange (colour)#Pastel orange,
FFD1DC,Pastel pink,Variations of pink#Pastel pink,
B39EB5,Pastel purple,Purple#Pastel purple,
FF6961,Pastel red,Variations of red#Pastel red,
CB99C9,Pastel violet,Violet (color)#Pastel violet,
FDFD96,Pastel yellow,Variations of yellow#Pastel yellow,
800080,Patriarch,Purple#Purple (HTML/CSS color) (patriarch),
536878,Payne's grey,Payne's grey,
FFE5B4,Peach,Peach (color),
FFCC99,Peach-orange,Peach (color)#Peach-orange,
FFDAB9,Peach puff,Peach (color)#Peach puff,
