ID,Color,RGB,R,G,B,Access
1379,lemonchiffon 4,8B8970,139,137,112,7375243
1380,lightgoldenrod 1,FFEC8B,255,236,139,9170175
1381,lightgoldenrod 2,EEDC82,238,220,130,8576238
1382,lightgoldenrod 3,CDBE70,205,190,112,7388877
1383,lightgoldenrod 4,8B814C,139,129,76,5013899
1384,banana,E3CF57,227,207,87,5754851
1385,gold 1 (gold),FFD700,255,215,0,55295
1386,gold 2,EEC900,238,201,0,51694
1387,gold 3,CDAD00,205,173,0,44493
1388,gold 4,8B7500,139,117,0,30091
1389,cornsilk 1 (cornsilk),FFF8DC,255,248,220,14481663
1390,cornsilk 2,EEE8CD,238,232,205,13494510
1391,cornsilk 3,CDC8B1,205,200,177,11651277
1392,cornsilk 4,8B8878,139,136,120,7899275
1394,goldenrod 1,FFC125,255,193,37,2474495
1395,goldenrod 2,EEB422,238,180,34,2274542
1396,goldenrod 3,CD9B1D,205,155,29,1940429
1397,goldenrod 4,8B6914,139,105,20,1337739
1399,darkgoldenrod 1,FFB90F,255,185,15,1030655
1400,darkgoldenrod 2,EEAD0E,238,173,14,962030
1401,darkgoldenrod 3,CD950C,205,149,12,824781
1402,darkgoldenrod 4,8B6508,139,101,8,550283
1403,orange 1 (orange),FFA500,255,165,0,42495
1404,orange 2,EE9A00,238,154,0,39662
1405,orange 3,CD8500,205,133,0,34253
1406,orange 4,8B5A00,139,90,0,23179
1410,wheat 1,FFE7BA,255,231,186,12249087
1411,wheat 2,EED8AE,238,216,174,11458798
1412,wheat 3,CDBA96,205,186,150,9878221
1413,wheat 4,8B7E66,139,126,102,6717067
1417,navajowhite 1 (navajowhite),FFDEAD,255,222,173,11394815
1418,navajowhite 2,EECFA1,238,207,161,10604526
1419,navajowhite 3,CDB38B,205,179,139,9155533
1420,navajowhite 4,8B795E,139,121,94,6191499
1421,eggshell,FCE6C9,252,230,201,13231868
1423,brick,9C661F,156,102,31,2057884
1424,cadmiumyellow,FF9912,255,153,18,1219071
1426,antiquewhite 1,FFEFDB,255,239,219,14413823
1427,antiquewhite 2,EEDFCC,238,223,204,13426670
1428,antiquewhite 3,CDC0B0,205,192,176,11583693
1429,antiquewhite 4,8B8378,139,131,120,7897995
1431,burlywood 1,FFD39B,255,211,155,10212351
1432,burlywood 2,EEC591,238,197,145,9553390
1433,burlywood 3,CDAA7D,205,170,125,8235725
1434,burlywood 4,8B7355,139,115,85,5600139
1435,bisque 1 (bisque),FFE4C4,255,228,196,12903679
1436,bisque 2,EED5B7,238,213,183,12047854
1437,bisque 3,CDB79E,205,183,158,10401741
1438,bisque 4,8B7D6B,139,125,107,7044491
1439,melon,E3A869,227,168,105,6924515
1440,carrot,ED9121,237,145,33,2200045
1442,darkorange 1,FF7F00,255,127,0,32767
1443,darkorange 2,EE7600,238,118,0,30446
1444,darkorange 3,CD6600,205,102,0,26317
1445,darkorange 4,8B4500,139,69,0,17803
1446,orange,FF8000,255,128,0,33023
1447,tan 1,FFA54F,255,165,79,5219839
1448,tan 2,EE9A49,238,154,73,4823790
1449,tan 3 (peru),CD853F,205,133,63,4163021
1450,tan 4,8B5A2B,139,90,43,2841227
1452,peachpuff 1 (peachpuff),FFDAB9,255,218,185,12180223
1453,peachpuff 2,EECBAD,238,203,173,11389934
1454,peachpuff 3,CDAF95,205,175,149,9809869
1455,peachpuff 4,8B7765,139,119,101,6649739
1456,seashell 1 (seashell),FFF5EE,255,245,238,15660543
1457,seashell 2,EEE5DE,238,229,222,14607854
1458,seashell 3,CDC5BF,205,197,191,12568013
1459,seashell 4,8B8682,139,134,130,8554123
1461,rawsienna,C76114,199,97,20,1335751
1463,chocolate 1,FF7F24,255,127,36,2392063
1464,chocolate 2,EE7621,238,118,33,2193134
1465,chocolate 3,CD661D,205,102,29,1926861
1466,chocolate 4 (saddlebrown),8B4513,139,69,19,1262987
1467,ivoryblack,292421,41,36,33,2171945
1468,flesh,FF7D40,255,125,64,4226559
1469,cadmiumorange,FF6103,255,97,3,221695
1470,burntsienna,8A360F,138,54,15,997002
1472,sienna 1,FF8247,255,130,71,4686591
1473,sienna 2,EE7942,238,121,66,4356590
1474,sienna 3,CD6839,205,104,57,3762381
1475,sienna 4,8B4726,139,71,38,2508683
1476,lightsalmon 1 (lightsalmon),FFA07A,255,160,122,8036607
1477,lightsalmon 2,EE9572,238,149,114,7509486
1478,lightsalmon 3,CD8162,205,129,98,6455757
1479,lightsalmon 4,8B5742,139,87,66,4347787
1481,orangered 1 (orangered),FF4500,255,69,0,17919
1482,orangered 2,EE4000,238,64,0,16622
1483,orangered 3,CD3700,205,55,0,14285
1484,orangered 4,8B2500,139,37,0,9611
1485,sepia,5E2612,94,38,18,1189470
1487,salmon 1,FF8C69,255,140,105,6917375
1488,salmon 2,EE8262,238,130,98,6456046
1489,salmon 3,CD7054,205,112,84,5533901
1490,salmon 4,8B4C39,139,76,57,3755147
1491,coral 1,FF7256,255,114,86,5665535
1492,coral 2,EE6A50,238,106,80,5270254
1493,coral 3,CD5B45,205,91,69,4545485
1494,coral 4,8B3E2F,139,62,47,3096203
1495,burntumber,8A3324,138,51,36,2372490
1496,tomato 1 (tomato),FF6347,255,99,71,4678655
1497,tomato 2,EE5C42,238,92,66,4349166
1498,tomato 3,CD4F39,205,79,57,3755981
1499,tomato 4,8B3626,139,54,38,2504331
1501,mistyrose 1 (mistyrose),FFE4E1,255,228,225,14804223
1502,mistyrose 2,EED5D2,238,213,210,13817326
1503,mistyrose 3,CDB7B5,205,183,181,11909069
1504,mistyrose 4,8B7D7B,139,125,123,8093067
1505,snow 1 (snow),FFFAFA,255,250,250,16448255
1506,snow 2,EEE9E9,238,233,233,15329774
1507,snow 3,CDC9C9,205,201,201,13224397
1508,snow 4,8B8989,139,137,137,9013643
1510,rosybrown 1,FFC1C1,255,193,193,12698111
1511,rosybrown 2,EEB4B4,238,180,180,11842798
1512,rosybrown 3,CD9B9B,205,155,155,10197965
1513,rosybrown 4,8B6969,139,105,105,6908299
1516,indianred 1,FF6A6A,255,106,106,6974207
1517,indianred 2,EE6363,238,99,99,6513646
