# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-colored	1	1
-column	1	1
-come	1	1
-Come	11	7
-compartment	1	1
-Condom	1	1
-congratulates	1	1
-Connie	1	1
-conservative	1	1
-Constantine	2	1
-convictfacility	1	1
-Cookout	1	1
-Cool	2	2
-COP-TlPS	1	1
-COP	1	1
-Correct	2	2
-Could	2	2
-Couldn	1	1
-count	5	5
-Couples	1	1
-course	2	2
-cozy	1	1
-crazy	2	2
-Crazy	2	1
-Cs	2	1
-cube	1	1
-cubic-foot	1	1
-cubic-inch	2	2
-cubic	1	1
-Cut	2	2
-cylinder	2	2
-D-RP-DM	1	1
-d	3	3
-D	94	64
-da	1	1
-Dad	1	1
-dammit	1	1
-damn-	1	1
-damn-o	1	1
-Damn	3	3
-Dance	1	1
-Dandy	1	1
-Dante	1	1
-David	21	4
-day-old	2	2
-day	81	75
-Day	2	2
-dayjourney	1	1
-days	1	1
-Days	1	1
-dazs	1	1
-dead	1	1
-Dead	1	1
-Definitely	1	1
-degree-per-minu	1	1
-degree-per-seco	1	1
-degree	67	58
-degreematching	1	1
-degrees	1	1
-Delacroix	1	1
-delia	1	1
-delta-one	1	1
-Delta	1	1
-demons	1	1
-Denise	1	1
-Dennis	1	1
-deposit	1	1
-Destiny	1	1
-Detective	3	1
-Did	10	10
-Die	2	1
-Different	1	1
-digit	11	9
-Digit	1	1
-dime	2	2
-dimensional	5	5
-Dimensional	2	2
-Dinner	1	1
-disagree	1	1
-disappear	1	1
-Dispatch	1	1
-disregard	1	1
-DlB	1	1
-Do	12	8
-doctor	1	1
-Doctor	1	1
-doer	2	2
-DOG-	1	1
-dog	1	1
-dollar	31	20
-Don	18	13
-done	1	1
-Dong	1	1
-doo	1	1
-door	2	2
-dorf	1	1
-Doris	1	1
-dory	1	1
-double-	3	2
-double	2	2
-Down	1	1
-Dr	1	1
-dreams	1	1
-Drop	1	1
-drowning	1	1
-Ds	2	2
-du	1	1
-Duck	1	1
-E	4	3
-Each	1	1
-Ease	1	1
-eating	1	1
-ectomy	1	1
-ed	6	2
-Eddie	2	1
-Edgar	1	1
-effacing	1	1
-efficiency-	2	1
-egg	2	1
-Eight	1	1
-El	1	1
-Elaine	2	1
-ELAlNE	1	1
-Elan	1	1
-Elanine	1	1
-eleven	2	2
