# 🚨
# 🚨 Source: https://master.dl.sourceforge.net/project/wordlist/VarCon/2020.12.07/varcon-2020.12.07.zip?viasf=1::varcon-2020.12.07/raw/unknown/abbc-plus.tab
# 🚨
accouter	accoutre	accoutre	accoutre	b
accouters	accoutres	accoutres	accoutres	b
accoutering	accoutring	accoutring	accoutring	b
accoutered	accoutred	accoutred	accoutred	b

accouterment	accoutrement	accoutrement	accoutrement	!?!
accouterments	accoutrements	accoutrements	accoutrements	!?!
accouterment	accoutrement's	accoutrement's	accoutrement's	!?!
accouterments	accoutrements's	accoutrements's	accoutrements's	!?!
