ID,Name,Meaning
186,Amittai,true; fearing
187,Ammah,"my, or his, people"
188,Ammi,same as Ammah
189,Ammiel,the people of God
190,Ammihud,people of praise
191,Ammi-nadab,my people is liberal
192,Ammishaddai,the people of the Almighty; the Almighty is with me
193,Ammizabad,dowry of the people
194,Ammon,a people; the son of my people
195,Amnon,faithful and true; tutor
196,Amok,a valley; a depth
197,Amon,faithful; true
198,Amorite,bitter; a rebel; a babbler
199,Amos,loading; weighty
200,Amoz,strong; robust
201,Amplias,large; extensive
202,Amram,an exalted people; their sheaves; handfuls of corn
203,Amraphel,one that speaks of secrets
204,Amzi,"strong, mighty"
205,Anab,a grape; a knot
206,Anah,one who answers; afflicted
207,Anaharath,"dryness, burning, wrath"
208,Anak,a collar; ornament
209,Anamim,a fountain; answer; affliction
210,Anammelech,answer; poverty of the king
211,Anani,a cloud; prophecy; divination
212,Ananias,"or Ananiah, the cloud of the Lord"
213,Anathema,separated; set apart
214,Anathoth,"or Anath, answer; song; poverty"
215,Andrew,a strong man
216,Andronicus,a man excelling others
217,Anem,"or Anen, an answer; their affliction"
218,Aner,answer; song; affliction
219,Aniam,a people; the strength or sorrow of people
220,Anim,answerings; singings; afflicted
221,Anna,gracious; one who gives
222,Annas,one who answers; humble
223,Antichrist,an adversary to Christ
224,Antioch,speedy as a chariot
225,Antipas,"for all, or against all"
226,Antipatris,"for, or against the father"
227,Antothijah,answers or songs of the Lord; afflictions
228,Anub,same as Anab
229,Apelles,exclusion; separation
230,Apharsathchites,Apharsites (from a root meaning) dividing or rending
231,Aphek,"Aphekah, Aphik, strength; a rapid torrent"
232,Aphiah,"speaking, blowing"
233,Apocalypse,"uncovering, revelation"
234,Apocrypha,hidden
235,Apollonia,"perdition, destruction"
236,Apollonius,destroying
237,Apollos,one who destroys; destroyer
238,Apollyon,a destroyer
239,Appaim,face; nostrils
240,Apphia,productive; fruitful
241,Aquila,an eagle
242,Ar,awakening; uncovering
243,Ara,cursing; seeing
244,Arab,multiplying; sowing sedition; a window; a locust
245,Arabia,evening; desert; ravens
246,Arad,a wild ass; a dragon
247,Arah,the way; a traveler
248,Aram,"highness, magnificence, one that deceives; curse"
249,Aran,an ark; their curse
250,Ararat,the curse of trembling
251,Araunah,ark; song; joyful cry
252,Arba,four
253,Archelaus,the prince of the people
254,Archippus,a master of horses
255,Arcturus,a gathering together
256,Ard,one that commands; he that descends
257,Ardon,ruling; a judgment of malediction
258,Areli,the light or vision of God
259,Areopagus,the hill of Mars
260,Aretas,"agreeable, virtuous"
261,Argob,"a turf, or fat land"
262,Ariel,altar; light or lion of God
263,Arimathea,a lion dead to the Lord
264,Arioch,long; great; tall
265,Aristarchus,the best prince
266,Aristobulus,a good counselor
267,Armageddon,hill of fruits; mountain of Megiddo
268,Arnon,rejoicing; sunlight
269,Aroer,heath; tamarisk
270,Arpad,the light of redemption
271,Arphaxad,a healer; a releaser
272,Artaxerxes,the silence of light; fervent to spoil
273,Artemas,"whole, sound"
274,Arumah,high; exalted
275,Asa,physician; cure
276,Asahel,creature of God
277,Asaiah,the Lord hath wrought
278,Asaph,who gathers together
279,Asareel,the beatitude of God
280,Asenath,peril; misfortune
281,Ashan,smoke
282,Ashbel,an old fire
283,Ashdod,effusion; inclination; theft
284,Asher,happiness
285,Ashima,crime; offense
286,Ashkenaz,a fire that spreads
287,Ashnah,change
288,Ashriel,same as Asareel
289,Ashtaroth,"Ashtoreth, flocks; sheep; riches"
290,Ashur,who is happy; or walks; or looks
291,Asia,muddy; boggy
292,Asiel,the work of God
293,Askelon,weight; balance; fire of infamy
294,Asnapper,unhappiness; increase of danger
