ID,Name,Meaning
850,Felix,"happy, prosperous"
851,Festus,"festive, joyful"
852,Fortunatus,"lucky, fortunate"
853,Gaal,contempt; abomination
854,Gaash,tempest; commotion
855,Gabbai,the back
856,Gabbatha,high; elevated
857,Gabriel,God is my strength
858,Gad,a band; a troop
859,Gadarenes,"men of Gadara, i.e., a place surrounded or walled"
860,Gaddi,my troop; a kid
861,Gaddiel,goat of God; the Lord my happiness
862,Gaius,lord; an earthly man
863,Galal,"a roll, a wheel"
864,Galatia,white; the color of milk
865,Galeed,the heap of witness
866,Galilee,wheel; revolution
867,Gallim,who heap up; who cover
868,Gallio,"who sucks, or lives on milk"
869,Gamaliel,recompense of God; camel of God
870,Gammadims,dwarfs
871,Gamul,a recompense
872,Gareb,a scab
873,Garmites,"men of Garmi, ie., bones, or, my cause"
874,Gatam,their lowing; their touch
875,Gath,a wine-press
876,Gath-rimmon,the high wine-press
877,Gaza,strong; a goat
878,Gazabar,a treasurer
879,Gazer,a dividing; a sentence
880,Gazez,a passing over
881,Gazzam,the fleece of them
882,Geba,a hill; cup
883,Gebal,bound; limit
884,Geber,"manly, strong"
885,Gebim,grasshoppers; height
886,Gedaliah,God is my greatness
887,Geder,"Gederah, Gederoth, a wall"
888,Gederothaim,hedges
889,Gehazi,valley of sight
890,Geliloth,"rolling, wheel, heap"
891,Gemalli,wares; a camel
892,Gemariah,accomplishment or perfection of the Lord
893,Gennesaret,garden of the prince
894,Genesis,beginning
895,Genubath,theft; robbery
896,Gera,"pilgrimage, combat; dispute"
897,Gerar,same as Gera
898,Gergesenes,those who come from pilgrimage or fight
899,Gerizim,"cutters, hatchets"
900,Gershom,a stranger here
901,Gershon,his banishment; the change of pilgrimage
902,Geshur,"Geshuri, sight of the valley; a walled valley"
903,Gether,the vale of trial or searching
904,Gethsemane,a very fat or plentiful vale
905,Geuel,God's redemption
906,Gezer,"dividing, sentence"
907,Giah,to guide; draw out; produce; a groan or sigh
908,Gibbar,"strong, manly"
909,Gibbethon,a back; a high house
910,Gibeah,a hill
911,Gibeon,hill; cup; thing lifted up
912,Giddel,great
913,Gideon,he that bruises or breaks; a destroyer
914,Gideoni,same as Gideon
915,Gihon,valley of grace
916,Gilalai,a wheel
917,Gilboa,revolution of inquiry
918,Gilead,the heap or mass of testimony
919,Gilgal,wheel; rolling; heap
920,Giloh,he that rejoices; he that overturns
921,Gimzo,that bulrush
922,Ginath,"Ginnetho, a garden"
923,Girgashite,who arrives from pilgrimage
924,Gispa,coming hither
925,Gittah-hepher,digging; a wine-press
926,Gittaim,a wine-press
927,Gittites,"men of Gath, ie., of a wine-press"
928,Goath,his touching; his roaring
929,Gob,cistern; grasshopper
930,Gog,roof; covering
931,Golan,passage; revolution
932,Golgotha,a heap of skulls; something skull-shaped
933,Goliath,passage; revolution; heap
934,Gomer,to finish; complete
935,Gomorrah,rebellious people
936,Goshen,approaching; drawing near
937,Gozan,fleece; pasture; who nourisheth the body
938,Gudgodah,happiness
939,Guni,a garden; a covering
940,Gur,the young of a beast; a whelp
941,Gur-baal,the governor's whelp
942,Haahashtari,a runner
943,Habaiah,the hiding of the Lord
944,Habakkuk,he that embraces; a wrestler
945,Habazinaiah,a hiding of the shield of the Lord
946,Habor,a partaker; a companion
947,Hachaliah,who waits for the Lord
948,Hachilah,my hope is in her
949,Hachmoni,a wise man
950,Hadad,joy; noise; clamor
951,Hadadezer,beauty of assistance
952,Hadadrimmon,invocation to the god Rimmon
953,Hadar,power; greatness
954,Hadarezer,same as Hadadezer
955,Hadashah,news; a month
956,Hadassah,a myrtle; joy
957,Hadid,rejoicing; sharp
958,Hadlai,loitering; hindering
959,Hadoram,their beauty; their power
960,Hadrach,point; joy of tenderness
961,Hagab,"Hagabah, a grasshopper"
962,Hagar,a stranger; one that fears
963,Haggai,feast; solemnity
964,Haggeri,"Haggi, a stranger"
965,Haggiah,the Lord's feast
966,Haggith,rejoicing
967,Hakkatan,little
968,Hakkoz,a thorn; summer; an end
969,Hakupha,a commandment of the mouth
970,Halah,a moist table
971,Halak,part
972,Halhul,grief; looking for grief
973,Hali,sickness; a beginning; a precious stone
974,Hallelujah,praise the Lord
975,Halloesh,saying nothing; an enchanter
976,Ham,hot; heat; brown
977,Haman,noise; tumult
978,Hamath,anger; heat; a wall
979,Hamath-zobah,"the heat, or the wall, of an army"
980,Hammedatha,he that troubles the law
981,Hammelech,a king; a counselor
982,Hammon,heat; the sun
983,Hamonah,his multitude; his uproar
984,Hamon-gog,the multitude of Gog
985,Hamor,an ass; clay; dirt
986,Hamoth,indignation
987,Hamul,godly; merciful
988,Hamutal,the shadow of his heat
989,Hanameel,the grace that comes from God; gift of God
990,Hanan,full of grace
991,Hananeel,"grace, or gift, of God"
992,Hanani,my grace; my mercy
993,Hananiah,grace; mercy; gift of the Lord
994,Hanes,banishment of grace
995,Haniel,the gift of God
996,Hannah,gracious; merciful; he that gives
997,Hannathon,the gift of grace
998,Hanniel,grace or mercy of God
999,Hanoch,dedicated
1000,Hanun,gracious; merciful
1001,Hapharaim,searching; digging
1002,Hara,a hill; showing forth
1003,Haradah,well of great fear
1004,Haran,mountainous country
1005,Harran,see Charran
1006,Harbonah,his destruction; his sword
1007,Hareph,winter; reproach
1008,Harhas,anger; heat of confidence
1009,Harhaiah,"heat, or anger, of the Lord"
1010,Harhur,made warm
1011,Harim,destroyed; dedicated to God
1012,Harnepher,the anger of a bull; increasing heat
1013,Harod,astonishment; fear
1014,Harosheth,a forest; agriculture; workmanship; deafness; silence
1015,Harsha,workmanship; a wood
1016,Harum,high; throwing down
1017,Harumaph,destruction
1018,Haruphite,slender; sharp
1019,Haruz,careful
1020,Hasadiah,the mercy of the Lord
1021,Hashabiah,the estimation of the Lord
1022,Hashabnah,"Hashabniah, the silence of the Lord"
1023,Hashem,named; a putting to
1024,Hashub,esteemed; numbered
1025,Hashubah,estimation; thought
1026,Hashum,silence; their hasting
1027,Hashupha,spent; made base
1028,Hasrah,wanting
1029,Hatach,he that strikes
1030,Hathath,fear
1031,Hatita,a bending of sin
1032,Hattil,howling for sin
1033,Hattipha,robbery
1034,Hattush,forsaking sin
1035,Hauran,a hole; liberty; whiteness
1036,Havilah,that suffers pain; that brings forth
1037,Havoth-jair,the villages that enlighten
1038,Hazael,that sees God
1039,Hazaiah,seeing the Lord
1040,Hazar-addar,an imprisoned generation
1041,Hazarenan,imprisoned cloud
1042,Hazargaddah,imprisoned band
1043,Hazar-hatticon,middle village; preparation
1044,Hazarmaveth,dwelling of death
1045,Hazar-shual,a wolf's house
1046,Hazar-susah,"or susim, the hay-paunch of a horse"
1047,Hazelelponi,sorrow of countenance
1048,Hazeroth,villages; palaces
1049,Hazezon-tamar,drawing near to bitterness
1050,Hazo,seeing; prophesying
1051,Hazor,court; hay
1052,Heber,one that passes; anger
1053,Hebrews,descendants of Heber
1054,Hebron,society; friendship
1055,Hegai,"or Hege, meditation; word; groaning; separation"
1056,Helam,their army; their trouble
1057,Helbah,"Helbon, milk, fatness"
1058,Heldai,"Heleb, Heled, the world; rustiness"
1059,Helek,part; portion
1060,Helem,dreaming; healing
1061,Heleph,changing; passing over
1062,Helez,armed; set free
1063,Heli,ascending; climbing up
1064,Helkai,same as Helek
1065,Helkath-hazzurim,"the field of strong men, or of rocks"
1066,Helon,window; grief
1067,Heman,their trouble; tumult; much; in great number
1068,Hen,grace; quiet; rest
1069,Hena,troubling
1070,Henadad,grace of the beloved
1071,Henoch,same as Enoch
1072,Hepher,a digger
1073,Hephzibah,my delight is in her
1074,Heres,the son; an earthen pot
1075,Heresh,a carpenter
1076,Hermas,"Hermes, Mercury; gain; refuge"
1077,Hermogenes,begotten of Mercury
1078,Hermon,anathema; devoted to destruction
1079,Herod,son of a hero
1080,Herodion,the song of Juno
1081,Heshbon,invention; industry
1082,Heshmon,a hasty messenger
1083,Heth,trembling; fear
1084,Hethlon,a fearful dwelling
1085,Hezekiah,strength of the Lord
1086,Hezer,"Hezir, a bog; converted"
1087,Hezrai,an entry or vestibule
1088,Hezron,the dart of joy; the division of the song
1089,Hiddai,a praise; a cry
1090,Hiddekel,sharp voice; sound
1091,Hiel,God lives; the life of God
1092,Hierapolis,holy city
1093,Higgaion,meditation; consideration
1094,Hilen,a window; grief
1095,Hilkiah,God is my portion
1096,Hillel,he that praises
1097,Hinnom,there they are; their riches
1098,Hirah,liberty; anger
1099,Hiram,exaltation of life; a destroyer
1100,Hittite,one who is broken; who fears
1101,Hivites,wicked; wickedness
1102,Hizkijah,the strength of the Lord
1103,Hobab,favored; beloved
1104,Hobah,love; friendship; secrecy
1105,Hod,praise; confession
1106,Hodaiah,the praise of the Lord
1107,Hodaviah,"Hodiah, Hodijah, same as Hodaiah"
1108,Hodesh,a table; news
1109,Hoglah,his festival or dance
1110,Hoham,woe to them
1111,Holon,a window; grief
1112,Homam,making an uproar
1113,Hophin,he that covers; my fist
1114,Hor,"who conceives, or shows; a hill"
1115,Horam,their hill
1116,Horeb,desert; solitude; destruction
1117,Horem,an offering dedicated to God
1118,Hor-hagidgad,the hill of felicity
1119,Hori,a prince; freeborn
1120,Horims,princes; being angry
1121,Hormah,devoted or consecrated to God; utter destruction
1122,Horonaim,angers; ragings
1123,Horonites,"men of anger, or of fury, or of liberty"
1124,Hosah,trusting
1125,Hosanna,save I pray thee; keep; preserve
1126,Hosea,"Hoshea, savior; safety"
1127,Hoshaiah,the salvation of the Lord
1128,Hoshama,heard; he obeys
1129,Hotham,a seal
1130,Hothir,excelling; remaining
1131,Hukkok,engraver; scribe; lawyer
1132,Hul,pain; infirmity
1133,Huldah,the world
1134,Hupham,their chamber; their bank
1135,Huppim,a chamber covered; the sea-shore
1136,Hur,liberty; whiteness; hole
1137,Huram,their liberty; their whiteness; their hole
1138,Huri,being angry; or same as Huram
1139,Hushah,hasting; holding peace
1140,Hushai,their haste; their sensuality; their silence
1141,Hushathite,"Hushim, man of haste, or of silence"
1142,Huz,counsel; woods; fastened
1143,Huzoth,streets; populous
1144,Huzzab,molten
1145,Hymeneus,nuptial; the god of marriage
1146,Ibhar,election; he that is chosen
1147,Ibleam,ancient people; people decreasing
1148,Ibneiah,"Ibniah, the building of the Lord; the understanding of the Lord; son by adoption"
1149,Ibri,passing over; being angry; being with young
1150,Ibzan,father of a target; father of coldness
1151,Ichabod,"where is the glory? or, no glory"
1152,Iconium,coming
1153,Idalah,"the hand of slander, or of cursing"
1154,Idbash,flowing with honey; the land of destruction
1155,Iddo,his band; power; praise
1156,Idumea,red; earthy; bloody
1157,Igal,redeemed; defiled
1158,Igeal,a redeemer; redeemed; defiled
1159,Igdaliah,the greatness of the Lord
1160,Iim,"heaps of Hebrews, or of angry men"
1161,Ije-abarim,"heaps of Hebrews, or of passers over"
1162,Ijon,look; eye; fountain
1163,Ikkesh,forward; wicked
1164,Illyricum,joy; rejoicing
1165,Imlah,plentitude; circumcision
1166,Immanuel,God with us
1167,Immer,saying; speaking; a lamb
1168,Imnah,same as Jimnah
1169,Imrah,a rebel; waxing bitter; changing
1170,Imri,speaking; exalting; bitter; a lamb
1171,India,praise; law
1172,Iphedeiah,redemption of the Lord
1173,Ir,watchman; city; vision
1174,Ira,watchman; making bare; pouring out
1175,Irad,wild ass; heap of empire; dragon
1176,Iram,the effusion of them; a high heap
1177,Iri,fire; light
1178,Irijah,the fear of the Lord
1179,Irpeel,"the health, medicine, or exulting of God"
1180,Irshemesh,a city of bondage
1181,Isaac,laughter
1182,Isaiah,the salvation of the Lord
1183,Iscah,he that anoints
1184,Iscariot,a man of murder; a hireling
1185,Ishbak,who is empty or exhausted
1186,Ishbi-benob,respiration; conversion; taking captive
1187,Ishbosheth,a man of shame
1188,Ishi,salvation
1189,Ishiah,it is the Lord
1190,Ishma,named; marveling; desolation
1191,Ishmael,God that hears
1192,Ishmaiah,hearing or obeying the Lord
1193,Ishmerai,"keeper, or keeping"
1194,Ishod,a comely man
1195,Ish-pan,hid; broken in two
1196,Ish-tob,good man
1197,Ishua,plainness; equal
1198,Ishmachiah,cleaving to the Lord
1199,Ispah,a jasper stone
1200,Israel,who prevails with God
1201,Issachar,reward; recompense
1202,Isui,same as Ishuah
1203,Ithai,strong; my sign; a plowshare
1204,Italy,abounding with calves or heifers
1205,Ithamar,island of the palm-tree
1206,Ithiel,"sign, or coming of God"
1207,Ithmah,an orphan
1208,Ithran,remaining; searching out diligently
1209,Ithream,excellence of the people
1210,Ittah-kazin,"hour, or time, of a prince"
1211,Iturea,guarded; mountainous
1212,Ivah,iniquity
1213,Izehar,"Izhar, clearness; oil"
1214,Izrahiah,the Lord ariseth; the clearness of the Lord
1215,Izri,fasting; tribulation
1216,Jaakan,tribulation; labor
1217,Jaakobah,supplanter; deceiver; the heel
1218,Jaala,ascending; a little doe or goat
1219,Jaalam,hidden; young man; heir
1220,Jaanai,answering; afflicting; making poor
1221,Jaasau,doing; my doing
1222,Jaasiel,God's work
1223,Jaazaniah,whom the Lord will hear
1224,Jaazah,"Jaazar, helper"
1225,Jaaziah,"Jaaziel, the strength of the Lord"
1226,Jabal,which glides away
1227,Jabbok,evacuation; dissipation; wrestling
1228,Jabesh,dryness; confusion; shame
1229,Jabez,sorrow; trouble
1230,Jabin,"Jabneh, he that understands; building"
1231,Jabneel,building of God
1232,Jachan,wearing out; oppressing
1233,Jachin,he that strengthens and makes steadfast
1234,Jacob,"that supplants, undermines; the heel"
1235,Jada,knowing
1236,Jadau,his hand; his confession
1237,Jaddua,known
1238,Jael,he that ascends; a kid
1239,Jagur,husbandman; stranger
1240,Jah,the everlasting
1241,Jahaleel,praising God; light of God
1242,Jahath,broken in pieces; descending
1243,Jahaz,"Jahazah, quarrel; dispute"
1244,Jahaziah,the vision of the Lord
1245,Jahaziel,seeing God
1246,Jahdiel,"the unity, or sharpness, or revenge, of God"
1247,Jahdo,I alone; his joy; his sharpness of wit; his newness
1248,Jahleel,"waiting for, or beseeching, or hope in, God"
1249,Jahmai,warm; making warm
1250,Jahzeel,"God hasteth, or divideth"
1251,Jair,"Jairus, my light; who diffuses light"
1252,Jakan,same as Achan
1253,Jakim,rising; confirming; establishing
1254,Jalon,tarrying; murmuring
1255,Jambres,poverty; bitter; a rebel
1256,James,same as Jacob
1257,Jamin,right hand; south wind
1258,Jamlech,reigning; asking counsel
1259,Janna,"Jannes, who speaks or answers; afflicted; poor"
1260,Janoah,"Janohah, resting; tarrying; deriving"
1261,Janum,sleeping
1262,Japhet,enlarged; fair; persuading
1263,Japhia,enlightening; appearing
1264,Japhlet,"Japhleti, delivered; banished"
1265,Japho,fairness; comeliness
1266,Jarah,a wood; honeycomb; watching closely
1267,Jareb,a revenger
1268,Jared,a ruling; commanding; coming down
1269,Jaresiah,the bed of the Lord; the Lord hath taken away; poverty
1270,Jarib,fighting; chiding; multiplying; avenging
1271,Jarmuth,"fearing, or seeing, or throwing down, death"
1272,Jarvah,"breathing, or making, a sweet smell"
1273,Jashem,"Jashen, ancient; sleeping"
1274,Jasher,righteous; upright
1275,Jashobeam,the people sitting; or captivity of the people
1276,Jashub,a returning; a controversy; a dwelling place
1277,Jasiel,the strength of God
1278,Jason,he that cures
1279,Jathniel,gift of God
1280,Jattir,a remnant; excellent
1281,Javan,deceiver; one who makes sad
1282,Jazeel,strength of God
1283,Jazer,assistance; helper
1284,Jaziz,brightness; departing
1285,Jearim,a leap; woods
1286,Jeaterai,searching out
1287,Jeberechiah,"speaking well of, or kneeling to, the Lord"
1288,Jebus,treading under foot; manger
1289,Jebusi,trodden under foot; mangers
1290,Jecamiah,"resurrection, or confirmation, or revenge, of the Lord"
1291,Jecoliah,"perfection, or power, of the Lord"
1292,Jeconiah,"preparation, or stability, of the Lord"
1293,Jedaiah,the hand of the Lord; confessing the Lord
1294,Jedeiah,one Lord; the joy of the Lord
1295,Jediael,"the science, or knowledge, of God"
1296,Jedidah,well beloved; amiable
1297,Jedidiah,beloved of the Lord
1298,Jediel,"the knowledge, or renewing, of God"
1299,Jeduthun,his law; giving praise
1300,Jeezer,island of help
1301,Jegar-sahadutha,heap of witness
1302,Jehaleleel,"Jehalelel, praising God; clearness of God"
1303,Jehaziel,same as Jahaziel
1304,Jehdeiah,"joy together, one Lord"
1305,Jeheiel,God liveth
1306,Jehezekel,strength of God
1307,Jehiah,the Lord liveth
1308,Jehiskiah,"the strength, or taking, of the Lord"
1309,Jehoadah,passing over; testimony of the Lord
1310,Jehoaddan,"pleasure, or time, of the Lord"
1311,Jehoahaz,possession of the Lord
1312,Jehoash,fire of the Lord
1313,Jehohanan,"grace, or mercy, or gift, of the Lord"
1314,Jehoiachin,"preparation, or strength, of the Lord"
1315,Jehoiada,knowledge of the Lord
1316,Jehoiakim,"avenging, or establishing, or resurrection, of the Lord"
1317,Jehoiarib,"fighting, or multiplying, of the Lord"
1318,Jehonadab,"Jonadab, free giver; liberality"
1319,Jehonathan,gift of the Lord; gift of a dove
1320,Jehoram,exaltation of the Lord
1321,Jehoshaphat,the Lord is judge
1322,Jehosheba,"fullness, or oath, of the Lord"
1323,Jehoshua,same as Joshua
1324,Jehovah,self-subsisting
1325,Jehovah-jireh,the Lord will provide
1326,Jehovah-nissi,the Lord my banner
1327,Jehovah-shalom,the Lord send peace
1328,Jehovah-shammah,the Lord is there
1329,Jehovah-tsidkenu,the Lord our righteousness
1330,Jehozabad,the Lord's dowry; having a dowry
1331,Jehozadak,justice of the Lord
1332,Jehu,himself who exists
1333,Jehubbah,"hiding, binding"
1334,Jehucal,mighty; perfect; wasted
1335,Jehud,"Jehudi, praising; conferring"
1336,Jehudijah,the praise of the Lord
1337,Jehush,keeping counsel; fastened
1338,Jekabzeel,the congregation of God
1339,Jekamean,the people shall arise
1340,Jekamiah,"establishing, or revenging, of the Lord"
1341,Jekuthiel,"hope, or congregation, of the Lord"
1342,Jemima,handsome as the day
1343,Jemuel,God's day; son of God
1344,Jephunneh,he that beholds
1345,Jerah,the moon; month; smelling sweet
1346,Jerahmeel,"the mercy, or the beloved, of God"
1347,Jered,ruling; coming down
1348,Jeremai,my height; throwing forth waters
1349,Jeremiah,exaltation of the Lord
1350,Jeremoth,eminences; one that fears death
1351,Jeriah,"fear, or throwing down, of the Lord"
1352,Jerebai,fighting; chiding; multiplying
1353,Jericho,his moon; his month; his sweet smell
1354,Jeriel,"fear, or vision of God"
1355,Jerijah,same as Jeriah
1356,Jerimoth,he that fears or rejects death
1357,Jerioth,kettles; breaking asunder
1358,Jeroboam,he that opposes the people
1359,Jeroham,high; merciful; beloved
1360,Jerubbaal,"he that defends Baal, let Baal defend his cause"
1361,Jerubbesheth,let the idol of confusion defend itself
1362,Jeruel,"fear, or vision of God"
1363,Jerusalem,vision of peace
1364,Jerusha,banished; possession; inheritance
1365,Jesaiah,"health, or salvation, of the Lord"
1366,Jeshebeab,"sitting, or captivity, of the father"
1367,Jesher,right; singing
1368,Jeshimon,solitude; desolation
1369,Jeshishai,ancient; rejoicing exceedingly
1370,Jeshohaia,the Lord pressing; the meditation of God
1371,Jeshua,same as Joshua
1372,Jesiah,sprinkling of the Lord
1373,Jesimiel,"naming, or astonishment, of God"
1374,Jesse,gift; oblation; one who is
1375,Jesui,even-tempered; flat country
1376,Jesus,savior; deliverer
1377,Jether,he that excels
1378,Jetheth,giving
1379,Jethlah,hanging up; heaping up
1380,Jethro,his excellence; his posterity
1381,Jetur,order; succession; mountainous
1382,Jeuel,God hath taken away; God heaping up
1383,Jeush,"Jeuz, he that is devoured"
1384,Jew,same as Judah
1385,Jezaniah,"nourishment, or weapons, of the Lord"
1386,Jezebel,chaste
1387,Jezer,island of help
1388,Jeziah,"Jeziel, sprinkling of the Lord"
1389,Jezoar,clear; white
1390,Jezrahiah,the Lord arises; brightness of the Lord
1391,Jezneel,seed of God
1392,Jibsam,"their drought, their confusion"
1393,Jidlaph,he that distills water
1394,Jimnah,right hand; numbering; preparing
1395,Jiphtah,opening
1396,Jiphthael,God opening
1397,Joab,paternity; voluntary
1398,Joah,fraternity; brother of the Lord
1399,Joahaz,apprehending; possessing; seeing
1400,Joakim,rising or establishing of the Lord
1401,Joanna,grace or gift of the Lord
1402,Joash,who despairs or burns
1403,Joatham,same as Jotham
1404,Job,he that weeps or cries
1405,Jobab,"sorrowful, hated"
1406,Jochebed,glorious; honorable
1407,Joed,witnessing; robbing; passing over
1408,Joel,he that wills or commands
1409,Joelah,lifting up; profiting; taking away slander
1410,Joezer,he that aids
1411,Jogbehah,an exalting; high
1412,Jogli,passing over; turning back; rejoicing
1413,Joha,who enlivens or gives life
1414,Johanan,who is liberal or merciful
1415,John,the grace or mercy of the Lord
1416,Joiarib,"chiding, or multiplying, of the Lord"
1417,Jokdeam,"crookedness, or burning, of the people"
1418,Jokim,that made the sun stand still
1419,Jokmeam,"confirmation, or revenge, of the people"
1420,Jokneam,"possessing, or building up, of the people"
1421,Jokshan,an offense; hardness; a knocking
1422,Joktan,small dispute; contention; disgust
1423,Jonadab,who gives liberally
1424,Jonah,"or Jonas, a dove; he that oppresses; destroyer"
1425,Jonan,a dove; multiplying of the people
1426,Jonathan,given of God
1427,Joppa,beauty; comeliness
1428,Jorah,"Jorai, showing; casting forth; a cauldron"
1429,Joram,to cast; elevated
1430,Jordan,the river of judgment
1431,Jorim,he that exalts the Lord
1432,Josabad,having a dowry
1433,Josaphat,same as Jehoshaphat
1434,Jose,raised; who pardons
1435,Joseph,increase; addition
1436,Joses,same as Jose
1437,Joshah,being; forgetting; owing
1438,Joshaviah,"the seat, alteration, or captivity of the Lord"
1439,Joshbekesha,it is requiring or beseeching
1440,Joshua,a savior; a deliverer
1441,Josiah,the Lord burns; the fire of the Lord
1442,Josibiah,"the seat, or captivity of the Lord"
1443,Josiphiah,increase of the Lord; the Lord's finishing
1444,Jotham,the perfection of the Lord
1445,Jothath,"Jothatha, his goodness"
1446,Jozabad,same as Josabad
1447,Jozachar,remembering; of the male sex
1448,Jubal,he that runs; a trumpet
1449,Jucal,mighty; perfect
1450,Judah,the praise of the Lord; confession
1451,Judas,"Jude, same as Judah"
1452,Judaea,"Judea, same as Judah"
1453,Judith,same as Judah
1454,Julia,downy; soft and tender hair
1455,Julius,same as Julia
1456,Junia,youth
1457,Jupiter,the father that helpeth
1458,Jushabhesed,dwelling-place; change of mercy
1459,Justus,just or upright
1460,Juttah,turning away
1461,Kabzeel,the congregation of God
1462,Kadesh,holiness
1463,Kadesh-barnea,holiness of an inconstant son
1464,Kadmiel,God of antiquity; God of rising
1465,Kadmonites,ancients; chiefs
1466,Kallai,light; resting by fire; my voice
1467,Kanah,of reeds
1468,Kareah,bald; ice
1469,Karkaa,floor; dissolving coldness
1470,Karkor,they rested
1471,Karnaim,horns
1472,Kartah,calling; meeting
1473,Kedar,blackness; sorrow
1474,Kedemah,oriental; ancient; first
1475,Kedemoth,antiquity; old age
1476,Kehelahath,a whole; a congregation
1477,Keiiah,she that divides or cuts
1478,Kelaiah,voice of the Lord; gathering together
1479,Kelitah,same as Kelaiah
1480,Kemuel,"God hath raised up, or established him"
1481,Kenah,buying; possession
1482,Kenan,buyer; owner
1483,Kenaz,this purchase; this lamentation
1484,Kenites,possession; purchase; lamentation
1485,Kenizzites,possession; purchase
1486,Keren-happuch,the horn or child of beauty
1487,Kerioth,the cities; the callings
1488,Keros,crooked; crookedness
1489,Keturah,that makes the incense to fume
1490,Kezia,superficies; the angle; cassia
1491,Keziz,end; extremity
1492,Kibroth-hattaavah,the graves of lust
1493,Kibzaim,congregation
1494,Kidron,obscure; making black or sad
1495,Kinah,same as Kenah
1496,Kir,a city; wall; meeting
1497,Kirharaseth,"Kirharesh, city of the sun; wall of burnt brick"
1498,Kirioth,same as Kerioth
1499,Kirjath,city; vocation; meeting
1500,Kirjathaim,the two cities; callings; or meetings
1501,Kirjath-arba,city of four; fourth city
1502,Kirjath-arim,city of those who watch
1503,Kirjath-baal,"city of Baal, or of a ruler"
1504,Kirjath-huzoth,city of streets; populous city
1505,Kirjath-jearim,city of woods
1506,Kirjath-sannah,"city of enmity, or of a blackberry bush"
1507,Kirjath-sepher,"city of letters, or of the book"
1508,Kish,hard; difficult; straw; for age
1509,Kishi,hardness; his gravity; his offense
1510,Kishion,hardness; soreness
1511,Kishon,hard; sore
1512,Kithlish,it is a wall; the company of a lioness
1513,Kitron,making sweet; binding together
1514,Kittim,breaking; bruising small; gold; coloring
1515,Koa,hope; a congregation; a line; a rule
1516,Kohath,congregation; wrinkle; bluntness
1517,Kolariah,voice of the Lord
1518,Korah,baldness; ice; frost
1519,Kushaiah,same as Kishi
1520,Laadah,to assemble together; to testify; passing over
1521,Laadan,for pleasure; devouring; judgment
1522,Laban,white; shining; gentle; brittle
1523,Labana,the moon; whiteness; frankincense
1524,Lachish,"who walks, or exists, of himself"
1525,Lael,to God; to the mighty
1526,Lahad,praising; to confess
1527,Lahairoi,who liveth and seeth me
1528,Lahmam,their bread; their war
1529,Lahmi,my bread; my war
1530,Laish,a lion
1531,Lamech,poor; made low
1532,Laodicea,just people
1533,Lapidoth,enlightened; lamps
1534,Lasea,thick; wise
1535,Lashah,to call; to anoint
1536,Lazarus,assistance of God
1537,Leah,weary; tired
1538,Lebanon,"white, incense"
1539,Lebaoth,lividness
1540,Lebbeus,a man of heart; praising; confessing
1541,Lebonah,same as Labana
1542,Lehabim,flames; inflamed; swords
1543,Lehi,jawbone
1544,Lekah,walking; going
1545,Lemuel,"God with them, or him"
1546,Leshem,a name; putting; a precious stone
1547,Letushim,hammermen; filemen
1548,Leummim,countries; without water
1549,Levi,associated with him
1550,Libnah,white; whiteness
1551,Libni,same as Libnah
1552,Libya,the heart of the sea; fat
1553,Linus,net
1554,Lo-ammi,not my people
1555,Lod,nativity; generation
1556,Lois,better
1557,Lo-ruhamah,not having obtained mercy; not pitied
1558,Lot,"Lotan, wrapt up; hidden; covered; myrrh; rosin"
1559,Lubin,heart of a man; heart of the sea
1560,Lucas,"Lucius, luminous; white"
1561,Lucifer,bringing light
1562,Lud,"Ludim, same as Lod"
1563,Luhith,made of boards
1564,Luke,luminous; white
1565,Luz,separation; departure; an almond
1566,Lycaonia,she-wolf
1567,Lydda,"Lydia, a standing pool"
1568,Lysanias,that drives away sorrow
1569,Lysias,dissolving
1570,Lysimachus,scattering the battle
1571,Lystra,that dissolves or disperses
1572,Maachah,pressed down; worn; fastened
1573,Maachathi,broken
1574,Maadai,pleasant; testifying
1575,Maadiah,pleasantness; the testimony of the Lord
1576,Maai,belly; heaping up
1577,Maale-akrabbim,ascent of scorpions
1578,Maarath,den; making empty; watching
1579,Maaseiah,the work of the Lord
1580,Maasiai,"the defense, or strength, or trust of the Lord"
1581,Maath,wiping away; breaking; fearing; smiting
1582,Maaz,wood; wooden
1583,Macedonia,burning; adoration
1584,Machbenah,"Machbanai, poverty; the smiting of his son"
1585,Machi,poor; a smiter
1586,Machir,selling; knowing
1587,Machnadebai,smiter
1588,Machpelah,double
1589,Madai,a measure; judging; a garment
1590,Madian,judgment; striving; covering; chiding
1591,Madmannah,measure of a gift; preparation of a garment
1592,Madon,a chiding; a garment; his measure
1593,Magbish,excelling; height
1594,Magdala,tower; greatness
1595,Magdalene,a person from Magdala
1596,Magdiel,declaring God; chosen fruit of God
1597,Magog,covering; roof; dissolving
1598,Magor-missabib,fear on every side
1599,Magpiash,a body thrust hard together
1600,Mahalah,"Mahalath, sickness; a company of dancers; a harp"
1601,Mahaleleel,praising God
1602,Mahali,infirmity; a harp; pardon
1603,Mahanaim,tents; two fields; two armies
1604,Mahanehdan,tents of judgment
1605,Mahanem,a comforter
1606,Maharai,hasting; a hill; from a hill
1607,Mahath,same as Maath
1608,Mahavites,declaring a message; marrow
1609,Mahaz,an end; ending; growing hope
1610,Mahazioth,seeing a sign; seeing a letter
