id,name,sex,source,weight
221,Shakevia,F,SS,335
222,Livvy,F,SS,178
223,Keyson,M,SS,92
224,Demtrius,M,SS,167
225,Jazyra,F,SS,13
226,Lynzee,F,SS,2004
227,Macaire,F,SS,15
228,Jamario,M,SS,3277
229,Jashante,F,SS,16
230,Jasonpaul,M,SS,16
231,Keantae,M,SS,54
232,Lamora,F,SS,54
233,Jomari,M,SS,540
234,Elisha,M,SS,60727
235,Ilise,F,SS,130
236,Irfan,M,SS,1179
237,Ednah,F,SS,1807
238,Jahara,F,SS,355
239,Jaileene,F,SS,33
240,Addysin,F,SS,179
241,Adora,F,SS,3965
242,Dallyn,F,SS,30
243,Darlisa,F,SS,396
244,Bronson,M,SS,18334
245,Elic,M,SS,359
246,Arturo,M,SS,146575
247,Benne,F,SS,18
248,Daena,F,SS,1548
249,Chiqueta,F,SS,82
250,Clayt,M,SS,59
251,Colsen,M,SS,474
252,Zakara,F,SS,147
253,Tiffannie,F,SS,521
254,Ruxin,M,SS,25
255,Sachary,F,SS,13
256,Raizo,M,SS,63
257,Truly,M,SS,24
258,Sedwick,M,SS,16
259,Yulieth,F,SS,64
260,Tomicka,F,SS,343
261,Torrion,M,SS,309
262,Rondell,F,SS,203
263,Soledad,F,SS,13944
264,Soumya,F,SS,602
265,Spoorthi,F,SS,65
266,Mareesa,F,SS,203
267,Markous,M,SS,27
268,Parish,F,SS,638
269,Qing,F,SS,13
270,Nadim,M,SS,794
271,Najia,F,SS,670
272,Maddix,F,SS,279
273,Malanie,F,SS,1626
274,Kalenna,F,SS,70
275,Kallon,M,SS,95
276,Nodra,F,SS,27
277,Mcadoo,M,SS,314
278,Lexee,F,SS,823
279,Liseth,F,SS,1775
280,Kerin,F,SS,3737
281,Kevone,M,SS,53
282,Kitt,F,SS,427
283,Lyndell,M,SS,6010
284,Jurem,M,SS,69
285,Kelson,M,SS,2472
286,Lakelyn,F,SS,631
287,Lamin,M,SS,370
288,Jodilynn,F,SS,143
289,Johnandrew,M,SS,118
290,Duwayne,M,SS,11756
291,Guston,M,SS,13
292,Jaemi,F,SS,118
293,Jamantha,F,SS,14
294,Feryal,F,SS,28
295,Cassity,F,SS,926
296,Arcadian,M,SS,13
297,Arlane,F,SS,24
298,Debborah,F,SS,1601
299,Elmeta,F,SS,75
300,Emiley,F,SS,4202
301,Ibraham,M,SS,143
302,Aadith,M,SS,44
